source,title,doi,published,url
zenodo,"MANIFESTATIONS OF PERFECTIONISM, MULTIDIMENSIONAL PERFECTIONISM, AND SELF-ATTITUDE ACROSS DIFFERENT AGE PERIODS",10.5281/zenodo.21636985,2026-07-28,
zenodo,"Dataset on Self-Esteem, Family Communication, and Social Network Addiction among Peruvian Higher Education Students",10.5281/zenodo.20516198,2026-06-02,
zenodo,"Face-to-face and digital PA interventions on self-esteem, body dissatisfaction and body appreciation in a sample of women with obesity",10.5281/zenodo.20345390,2026-05-22,
figshare,"ResearchBox 171, 'Self-esteem & daily stress'",10.5281/zenodo.15032544,2026-07-28T11:21:49Z,https://researchdata.smu.edu.sg/articles/dataset/ResearchBox_171_Self-esteem_daily_stress_/30750632
figshare,Multicultural experience and subjective well-being among young Chinese,10.17632/x8zvbjv6p2.1,2026-07-28T11:03:40Z,https://researchdata.smu.edu.sg/articles/dataset/Multicultural_experience_and_subjective_well-being_among_young_Chinese/30867398
figshare,"Additional file 3 of Exploring the interplay between tinder use, general self-esteem, and sexual self-esteem among European emerging adults",10.6084/m9.figshare.32887723.v1,2026-07-03T03:59:09Z,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Exploring_the_interplay_between_tinder_use_general_self-esteem_and_sexual_self-esteem_among_European_emerging_adults/32887723
figshare,"Additional file 2 of Exploring the interplay between tinder use, general self-esteem, and sexual self-esteem among European emerging adults",10.6084/m9.figshare.32887720.v1,2026-07-03T03:59:07Z,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Exploring_the_interplay_between_tinder_use_general_self-esteem_and_sexual_self-esteem_among_European_emerging_adults/32887720
figshare,"Additional file 1 of Exploring the interplay between tinder use, general self-esteem, and sexual self-esteem among European emerging adults",10.6084/m9.figshare.32887717.v1,2026-07-03T03:59:06Z,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Exploring_the_interplay_between_tinder_use_general_self-esteem_and_sexual_self-esteem_among_European_emerging_adults/32887717
figshare,"Associations between psychological strengths and PTSD, depression, and anxiety symptoms among Israeli female veterans: A network approach",10.6084/m9.figshare.32649377.v1,2026-06-11T15:42:07Z,https://tandf.figshare.com/articles/dataset/Associations_between_psychological_strengths_and_PTSD_depression_and_anxiety_symptoms_among_Israeli_female_veterans_A_network_approach/32649377
figshare,<p>Six different standardized effects [95% CI] between within-individual self-esteem and emotional eating or restrained eating.</p>,10.1371/journal.pone.0351302.t002,2026-06-08T17:35:25Z,https://plos.figshare.com/articles/dataset/_p_Six_different_standardized_effects_95_CI_between_within-individual_self-esteem_and_emotional_eating_or_restrained_eating_p_/32606944
datacite,Dataset for: How Mothers' and Fathers' Involvement Shapes Relationship Contingent Self-Esteem: The Mediating Role of Need Satisfaction in Emerging Adulthood,10.17632/hybm97cfsj.1,2027,https://data.mendeley.com/datasets/hybm97cfsj/1
datacite,Dataset for: How Mothers' and Fathers' Involvement Shapes Relationship Contingent Self-Esteem: The Mediating Role of Need Satisfaction in Emerging Adulthood,10.17632/hybm97cfsj,2027,https://data.mendeley.com/datasets/hybm97cfsj
scholars_portal,"Replication Data for: Collaborative Board Games Increase Climate Agency, Boost Positive Emotions and Influence Climate Change Vocabulary",10.5683/sp3/ig0a4y,2026-05-20T17:02:33Z,https://doi.org/10.5683/SP3/IG0A4Y
surf,Development of the Perceived Synchrony during Sex Questionnaire (PSSQ),10.34894/wnef34,2026-06-08T12:02:49Z,https://doi.org/10.34894/WNEF34
zenodo,Artificial Intelligence Self-Efficacy and Attitude Scale,10.5281/zenodo.20625728,2026-06-10,
zenodo,MANIFESTATION OF ACHIEVEMENT MOTIVATION AMONG STUDENTS OF SPECIALIZED SCHOOLS,10.5281/zenodo.20614320,2026-06-09,
zenodo,Anonymized dataset on OSTES validation and emotional intelligence among in-service and preservice teachers in Spain and Colombia,10.5281/zenodo.20550197,2026-06-05,
zenodo,TEACHERS' READINESS TO USE ARTIFICIAL INTELLIGENCE IN HIGHER EDUCATION: PSYCHOLOGICAL AND INSTITUTIONAL CORRELATES,10.5281/zenodo.20280750,2026-05-19,
