table	table.lower	Description	URL (for data)	Reference	DOI (for paper)	Original License	Custom License	Public Reshare?	Derived License	Custom License	Notes	Contributor	Date
aditama_2024_strs	aditama_2024_strs	Student-Teacher Relationship Scale, Indonesian version, 1-5; secondary students. 1924 respondents x 28 items = 53872 responses.	https://data.mendeley.com/datasets/b4byp3rn7j	Aditama, M. H. R., Atmoko, A., & Muslihati, M. (2024). Dataset Validation of the Indonesian Version of the Student-Teacher Relationship Scale: Rasch Model Analysis [Data set]. Mendeley Data. https://doi.org/10.17632/b4byp3rn7j	10.17632/b4byp3rn7j	CC BY 4.0		Public	CC BY 4.0		Source header mixes item_/Item_ case for one 28-item block; matched case-insensitively.	automated	2026-08-26
baquerotomas_2026_ders	baquerotomas_2026_ders	Difficulties in Emotion Regulation Scale, 0-4; Spanish university students. 566 respondents x 28 items = 15848 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_spsi	baquerotomas_2026_spsi	Social Problem-Solving Inventory, 0-4. 566 respondents x 25 items = 14150 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_pil	baquerotomas_2026_pil	Purpose in Life test, 1-7. 566 respondents x 20 items = 11320 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_emas	baquerotomas_2026_emas	Endler Multidimensional Anxiety Scales items, 1-7. 566 respondents x 12 items = 6792 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_neoffi	baquerotomas_2026_neoffi	NEO Five-Factor Inventory items, 1-5. 566 respondents x 9 items = 5094 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_phq9	baquerotomas_2026_phq9	Patient Health Questionnaire-9, 0-3. 566 respondents x 9 items = 5094 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
baquerotomas_2026_gad7	baquerotomas_2026_gad7	Generalized Anxiety Disorder-7, 0-3. 566 respondents x 7 items = 3962 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MXYEMC	Baquero-Tomas, M. (2026). Dificultades en regulacion emocional, ansiedad y depresion en estudiantes universitarios espanoles [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/MXYEMC	10.7910/DVN/MXYEMC	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
demirbag_2025_epistemological_beliefs	demirbag_2025_epistemological_beliefs	Epistemological beliefs, 1-5; Turkish middle-school students. 1073 respondents x 26 items = 27898 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HYZ6QH	Demirbag, M., & Savas, B. (2025). The Examination of the Relationships among Middle School Students' Epistemological Beliefs, Goal Orientations and Emotions [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/HYZ6QH	10.7910/DVN/HYZ6QH	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
demirbag_2025_emotions	demirbag_2025_emotions	Academic emotions, 1-5. 1073 respondents x 24 items = 25752 responses.	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HYZ6QH	Demirbag, M., & Savas, B. (2025). The Examination of the Relationships among Middle School Students' Epistemological Beliefs, Goal Orientations and Emotions [Data set]. Harvard Dataverse. https://doi.org/10.7910/DVN/HYZ6QH	10.7910/DVN/HYZ6QH	CC0 1.0		Public	CC0 1.0		No identifier column in the deposit; id is row position (one row = one respondent).	automated	2026-08-26
