table	table.lower	Description	URL (for data)	Reference	DOI (for paper)	Original License	Custom License	Public Reshare?	Derived License	Custom License	Notes	Contributor	Date
mboya_2020_gds15	mboya_2020_gds15	15-item Geriatric Depression Scale, yes/no; adults aged 60+ in Kilimanjaro, Tanzania. 304 respondents x 15 items = 4560 responses.	https://data.mendeley.com/datasets/btrrmwtfmh	Mboya, I. (2020). Depression in elderly population [Data set]. Mendeley Data. https://doi.org/10.17632/btrrmwtfmh	10.17632/btrrmwtfmh	CC BY 4.0		Public	CC BY 4.0		The 0/1 suffixes on the source item names record which answer is depression-consistent, not the response; kept so the keying stays visible. gdsgrp, the above/below-threshold classification, is dropped.	automated	08-26-2026
eyrenci_2025_mental_health_literacy	eyrenci_2025_mental_health_literacy	22-item mental health literacy knowledge scale scored right/wrong; Turkish adults. 240 respondents x 22 items = 5276 responses.	https://data.mendeley.com/datasets/dmv73kyjdp	Eyrenci, E. M., & Ozturk Turgut, E. (2025). mental health literacy [Data set]. Mendeley Data. https://doi.org/10.17632/dmv73kyjdp	10.17632/dmv73kyjdp	CC BY 4.0		Public	CC BY 4.0		Knowledge data: resp is 0/1 correctness. The eight ters* columns are reverse-scored copies of y11-y18 (verified 1-x) and are dropped, as are three subscale totals. Free-text clinical columns are not shipped as covariates.	automated	08-26-2026
zhang_2026_ecosystem_services	zhang_2026_ecosystem_services	Perceived ecosystem services, 12 items, 1-7; tourists. 1016 respondents x 12 items = 12192 responses.	https://data.mendeley.com/datasets/62rjwfhm6j	Zhang, S. (2026). Ecosystem Services and Well-being [Data set]. Mendeley Data. https://doi.org/10.17632/62rjwfhm6j	10.17632/62rjwfhm6j	CC BY 4.0		Public	CC BY 4.0		The four blocks (provisioning, regulating, cultural, supporting) are the four dimensions of one measure, three items each, so they ship as one table with itemcov_dimension rather than four. Sheet 2 of the workbook holds construct means, not responses.	automated	08-26-2026
zhang_2026_tourist_wellbeing	zhang_2026_tourist_wellbeing	Tourist well-being, 4 items, 1-7. 1016 respondents x 4 items = 4064 responses.	https://data.mendeley.com/datasets/62rjwfhm6j	Zhang, S. (2026). Ecosystem Services and Well-being [Data set]. Mendeley Data. https://doi.org/10.17632/62rjwfhm6j	10.17632/62rjwfhm6j	CC BY 4.0		Public	CC BY 4.0		A separate construct from the ecosystem-services block in the same workbook, on the same 1-7 format.	automated	08-26-2026
zhang_2026_healthy_attitude	zhang_2026_healthy_attitude	Healthy attitude, 4 items, 1-7; tourists. 1016 respondents x 4 items = 4064 responses.	https://data.mendeley.com/datasets/62rjwfhm6j	Zhang, S. (2026). Ecosystem Services and Well-being [Data set]. Mendeley Data. https://doi.org/10.17632/62rjwfhm6j	10.17632/62rjwfhm6j	CC BY 4.0		Public	CC BY 4.0		A separate construct from the ecosystem-services block in the same workbook.	automated	08-26-2026
zhang_2026_ecological_values	zhang_2026_ecological_values	Ecological values, 4 items, 1-7; tourists. 1016 respondents x 4 items = 4064 responses.	https://data.mendeley.com/datasets/62rjwfhm6j	Zhang, S. (2026). Ecosystem Services and Well-being [Data set]. Mendeley Data. https://doi.org/10.17632/62rjwfhm6j	10.17632/62rjwfhm6j	CC BY 4.0		Public	CC BY 4.0		A separate construct from the ecosystem-services block in the same workbook.	automated	08-26-2026
koksal_2023_psycap	koksal_2023_psycap	Psychological Capital, 24 items, 1-6; Turkish employees. 281 respondents x 24 items = 6744 responses.	https://data.mendeley.com/datasets/zhcyyxwpr6	Koksal, K. (2023). Work-Related Depression and Life Satisfaction: Moderating Effect of Job Guarantee and Psychological Capital [Data set]. Mendeley Data. https://doi.org/10.17632/zhcyyxwpr6	10.17632/zhcyyxwpr6	CC BY 4.0		Public	CC BY 4.0		One instrument with four six-item subscales (optimism, resilience, hope, self-efficacy), carried as itemcov_subscale. Source column order interleaves the hope and self-efficacy items; sorted by number so ids match the published instrument.	automated	08-26-2026
koksal_2023_life_satisfaction	koksal_2023_life_satisfaction	Life satisfaction, 5 items, 1-7; Turkish employees. 281 respondents x 5 items = 1405 responses.	https://data.mendeley.com/datasets/zhcyyxwpr6	Koksal, K. (2023). Work-Related Depression and Life Satisfaction: Moderating Effect of Job Guarantee and Psychological Capital [Data set]. Mendeley Data. https://doi.org/10.17632/zhcyyxwpr6	10.17632/zhcyyxwpr6	CC BY 4.0		Public	CC BY 4.0		Separate table from the PsyCap block in the same deposit because the response scale differs (1-7 vs 1-6).	automated	08-26-2026
koksal_2023_work_depression	koksal_2023_work_depression	Work-related depression checklist, 6 items, 1-5; Turkish employees. 281 respondents x 6 items = 1686 responses.	https://data.mendeley.com/datasets/zhcyyxwpr6	Koksal, K. (2023). Work-Related Depression and Life Satisfaction: Moderating Effect of Job Guarantee and Psychological Capital [Data set]. Mendeley Data. https://doi.org/10.17632/zhcyyxwpr6	10.17632/zhcyyxwpr6	CC BY 4.0		Public	CC BY 4.0		Items are named for their Turkish adjectives rather than numbered. Separate table: 1-5, against the deposit's other blocks at 1-6 and 1-7.	automated	08-26-2026
szabo_2025_passion	szabo_2025_passion	Passion Scale, 17 items, 1-7; Hungarian entrepreneurs. 184 respondents x 17 items = 3128 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		The w7_SQ* columns are a 0-6 recode of this block (verified PS-1) and are dropped.	automated	08-26-2026
szabo_2025_wellbeing	szabo_2025_wellbeing	Well-being, 12 items, 1-4; Hungarian entrepreneurs. 184 respondents x 12 items = 2208 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		One of eight instruments in this deposit, split by construct and response format.	automated	08-26-2026
szabo_2025_molbi	szabo_2025_molbi	Oldenburg Burnout Inventory (MOLBI), 10 items, 1-4; Hungarian entrepreneurs. 184 respondents x 10 items = 1840 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		The c3_SQ*_num_neg columns are the reverse-keyed copies of items 1, 5, 8 and 10 (verified 5-x) and are dropped.	automated	08-26-2026
szabo_2025_bwas	szabo_2025_bwas	Bergen Work Addiction Scale, 7 items, 0-4; Hungarian entrepreneurs. 184 respondents x 7 items = 1288 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		One of eight instruments in this deposit, split by construct and response format.	automated	08-26-2026
szabo_2025_work_addiction	szabo_2025_work_addiction	Work addiction yes/no screen, 7 items, coded 1/2; Hungarian entrepreneurs. 184 respondents x 7 items = 1288 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		The source's 1/2 coding is kept rather than recoded to 0/1; WATOTAL is verified to be the row sum.	automated	08-26-2026
szabo_2025_family_conflict	szabo_2025_family_conflict	Family-to-work conflict, 5 items, 1-4; Hungarian entrepreneurs. 184 respondents x 5 items = 920 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		One of eight instruments in this deposit, split by construct and response format.	automated	08-26-2026
szabo_2025_work_conflict	szabo_2025_work_conflict	Work-to-family conflict, 5 items, 1-4; Hungarian entrepreneurs. 184 respondents x 5 items = 920 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		One of eight instruments in this deposit, split by construct and response format.	automated	08-26-2026
szabo_2025_pss4	szabo_2025_pss4	Perceived Stress Scale (PSS-4), 4 items, 0-4; Hungarian entrepreneurs. 184 respondents x 4 items = 736 responses.	https://data.mendeley.com/datasets/jkwhf3ys6z	Szabo, A. (2025). Burnout in Entrepreneurs Predicted by Stress and Harmonious Passion [Data set]. Mendeley Data. https://doi.org/10.17632/jkwhf3ys6z	10.17632/jkwhf3ys6z	CC BY 4.0		Public	CC BY 4.0		The deposit never names this block (columns w2_SQ001-004). Identified by reconstruction: scoring it with its two reverse-keyed items reproduces the deposit's own Stress column exactly for all 184 rows, which is the PSS-4's scoring rule.	automated	08-26-2026
