source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0158150,Behavioral Phenotyping of Juvenile Long-Evans and Sprague-Dawley Rats: Implications for Preclinical Models of Autism Spectrum Disorders,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158150,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Task', 'Tab Title', 'Comments', 'Acronyms'] | SI caption: Strain Comparison Stats (2).    This excel workbook compiles",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0158150_S1_File.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0350417,Assessing undergraduate mentoring competency in a research-intensive Hispanic serving institution: A revalidation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0350417,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: De-identified Data.   https://doi.org/10.1371/journal.pone.0",All relevant data are available within the  Supporting information  files.,,journal.pone.0350417_S1_File.xlsx,6639.0,6.0,68.0,16.2721,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0319857,Assessing factors that influence graduate student burnout in health professions education and identifying recommendations to support their well-being,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0319857,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Name', 'Definition', 'Code name', 'Type', 'Definition.1', 'Decision rules'] | SI caption: Codebook definition and Themes-subthemes.   https://doi.org/",All relevant data are within the article and its  Supporting Information  files.,,journal.pone.0319857_S5_File.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0258948,The basic psychological needs satisfaction and frustration scale at work: A validation in the Polish language,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0258948,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0258948.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0258948_S1_Data.sav,152171.0,31.0,116.0,42.3167,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0342601,Examining the evolving roles of quantity surveyors in achieving the United Nations sustainable development goals,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0342601,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0342601.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0342601_S1_File.xlsx,3868.0,45.0,44.0,1.9535,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0309980,The importance of test order in external and standardized test results: The case of PISA 2018,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0309980,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Tables  4 – 7 .   https://doi.org/10.1371/journal.pone.03099",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0309980_S1_Data.csv,2292363.0,140.0,143.0,114.5036,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0193901,The art and science of selecting graduate students in the biomedical sciences: Performance in doctoral study of the foundational sciences,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193901,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Primary data.   https://doi.org/10.1371/journal.pone.0193901",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0193901_S1_File.xlsx,711.0,3.0,8.0,29.625,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0210947,Long-term effects of an e-learning course on patient safety: A controlled longitudinal study with medical students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210947,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Raw data.    This file contains the study raw data, except f",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0210947_S1_File.sav,2243.0,2.0,25.0,44.86,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0202173,"Five levels of performance and two subscales identified in the computer-vision symptom scale (CVSS17) by Rasch, factor, and discriminant analysis",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202173,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'CALCULATION OF CVSS17 SCORES
INSTRUCTIONS FOR USE
' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['CALCULATION OF CVSS17 SCORES\nINSTRUCTIONS FOR USE\n'] | SI caption: S",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0202173_S12_Appendix.xlsx,,,,,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0279379,Exploring nomophobia with a German adaption of the nomophobia questionnaire (NMP-Q-D),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279379,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0279379.s001",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0279379_S1_Data.xlsx,7962.0,25.0,160.0,1.9905,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
