journal,issn_l,publisher,tier,year,n_records,n_fulltext,n_oa,pct_fulltext,pct_oa
PLOS ONE,1932-6203,Public Library of Science,positive_control,2015,29765,29765,29765,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2016,23022,23022,23022,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2017,21150,21150,21150,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2018,18833,18833,18833,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2019,16227,16225,16225,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2020,16684,16682,16682,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2021,16625,16623,16623,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2022,16068,16066,16065,1.0,1.0
PLOS ONE,1932-6203,Public Library of Science,positive_control,2023,15030,14926,14926,0.993,0.993
PLOS ONE,1932-6203,Public Library of Science,positive_control,2024,17792,17571,17570,0.988,0.988
PLOS ONE,1932-6203,Public Library of Science,positive_control,2025,19600,19550,19550,0.997,0.997
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2015,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2016,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2017,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2018,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2019,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2020,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2021,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2022,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2023,0,0,0,,
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2024,124,122,122,0.984,0.984
PLOS Mental Health,2837-8156,Public Library of Science,A_plos_siblings,2025,293,292,291,0.997,0.993
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2015,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2016,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2017,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2018,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2019,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2020,0,0,0,,
PLOS Global Public Health,2767-3375,Public Library of Science,A_plos_siblings,2021,53,53,53,1.0,1.0
