source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0314879,"The English Debating Self-Efficacy Scale: Scale development, validation, and psychometric properties",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314879,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0314879.s002",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0314879_S1_Dataset.xlsx,18734.0,5.0,29.0,129.2,1.0,not_item_response,"n_participants=5 but n_responses=18734 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=129×)"
plos,plosone,10.1371/journal.pone.0326994,"The relationship between teacher commitment, teacher self-efficacy, and work-related quality of life among science teachers",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0326994,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Data-teacher.   https://doi.org/10.1371/journal.pone.0326994",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0326994_S1_Data.sav,46200.0,2.0,75.0,308.0,0.0,not_item_response,"n_participants=2 but n_responses=46200 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=308×)"
plos,plosone,10.1371/journal.pone.0288216,Creation of a shortened version of the Sleep Disorders Questionnaire (SDQ),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288216,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Raw data (n = 2131, v = 167) in an excel sheet.   https://do",All relevant raw data are within the manuscript and its  Supporting Information  files. Full text of the SDQ-2 questionnaire and its scoring sheet are also uploaded.,,journal.pone.0288216_S1_Dataset.xlsx,355878.0,3.0,167.0,710.3353,0.0,not_item_response,"n_participants=3 but n_responses=355878 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=710×)"
plos,plosone,10.1371/journal.pone.0114266,The Role of Zinc and Iron-Folic Acid Supplementation on Early Child Temperament and Eating Behaviors in Rural Nepal: A Randomized Controlled Trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114266,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Study Data.   https://doi.org/10.1371/journal.pone.0114266.s",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0114266_S1_Data.dta,306326.0,5.0,115.0,532.7409,0.0,not_item_response,"n_participants=5 but n_responses=306326 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=533×)"
plos,plosone,10.1371/journal.pone.0337652,Breaking dependency: The Cinderella complex and barriers to self-employment among rural women in Iran,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337652,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: De-identified dataset supporting the findings of this study.",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0337652_S4_Appendix.xlsx,56918.0,4.0,156.0,91.2147,0.0,not_item_response,"n_participants=4 but n_responses=56918 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=91×)"
plos,plosone,10.1371/journal.pone.0234604,Ability self-concept and self-efficacy in higher education: An empirical differentiation based on their factorial structure,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0234604,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction* | SI caption: SPSS dataset.   https://doi.org/10.1371/journal.pone.0234604",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0234604_S1_Data.sav,2160.0,2.0,2.0,540.0,0.0,not_item_response,"n_responses/n_participants/n_items ratio=540× — strongly suggests a long aggregate table, not individual responses"
plos,plosone,10.1371/journal.pone.0248275,The explanatory power of social cognitive theory in determining knowledge sharing among Saudi faculty,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248275,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0248275.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0248275_S1_Data.xlsx,17262.0,1.0,42.0,411.0,0.0,not_item_response,"n_participants=1 but n_responses=17262 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=411×)"
plos,plosone,10.1371/journal.pone.0265628,Exploring member’s knowledge sharing intention in online health communities: The effects of social support and overload,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0265628,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0265628.s001",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0265628_S1_Data.csv,15840.0,4.0,48.0,82.5,0.0,not_item_response,"n_participants=4 but n_responses=15840 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=82×)"
plos,plosone,10.1371/journal.pone.0346571,Assessing the influence of diverse skills on employability outcomes for IT undergraduates,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346571,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: Data file.   https://doi.org/10.1371/journal.pone.0346571.s0",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0346571_S1_Appendix.xlsx,23460.0,2.0,68.0,172.5,0.0,not_item_response,"n_participants=2 but n_responses=23460 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=172×)"
plos,plosone,10.1371/journal.pone.0259012,"Loneliness, depression, anxiety, and post-traumatic stress disorder among Chinese adults during COVID-19: A cross-sectional online survey",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259012,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data used in this study.   https://doi.org/10.1371/journal.p",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0259012_S2_File.sav,5824.0,2.0,4.0,728.0,0.0,not_item_response,"n_responses/n_participants/n_items ratio=728× — strongly suggests a long aggregate table, not individual responses"
plos,plosone,10.1371/journal.pone.0324487,A study on the turnover intention of teachers in Chinese regional universities: A predictive power analysis based on five management dimensions of high-performance human resource practices,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324487,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Original data.   https://doi.org/10.1371/journal.pone.032448",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0324487_S1_Data.xlsx,50320.0,2.0,68.0,370.0,0.0,not_item_response,"n_participants=2 but n_responses=50320 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=370×)"
plos,plosone,10.1371/journal.pone.0287729,Positive youth development attributes and cyberbullying victimization among Chinese middle school students: A longitudinal moderated mediation model involving internet gaming disorder and depression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287729,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Dataset used for analyses in present study.   https://doi.or",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0287729_S1_Dataset.sav,95627.0,2.0,133.0,359.5,0.0,not_item_response,"n_participants=2 but n_responses=95627 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=360×)"
plos,plosone,10.1371/journal.pone.0231504,A congruence perspective on how human and social capital affect learning capability and innovation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231504,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0231504.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0231504_S1_Data.sav,18240.0,4.0,40.0,114.0,0.0,not_item_response,"n_participants=4 but n_responses=18240 — 'participants' are almost certainly rows in a summary table, not real respondents (ratio=114×)"
