source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
dataverse,Replication Data for: Impacts of AI systems on occupational health and well-being,https://doi.org/10.7910/DVN/CORNFB,10.7910/dvn/cornfb,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['AI systems object of study', 'Participants', 'Antecedents', 'Unnamed: 3', 'Mediators', 'Unnamed: 5', 'Worker-AI systems interactions', 'Unnamed: 7', 'Mediators.1', 'Unnamed: 9', 'Outcomes', 'Document']",,,,,Extracted findings for the updated review phase (2023-2025).xlsx,6.0
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,https://doi.org/10.7910/DVN/NGRR1Q,10.7910/dvn/ngrr1q,cc0,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, composite_items*",61150,1200,51,0.9992,data_wave1_2022-1.tab,3.0
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,https://doi.org/10.7910/DVN/NGRR1Q,10.7910/dvn/ngrr1q,cc0,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, composite_items*",61150,1200,51,0.9992,data_wave1_2022-1.tab,3.0
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,https://doi.org/10.7910/DVN/NGRR1Q,10.7910/dvn/ngrr1q,cc0,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, composite_items*",61150,1200,51,0.9992,data_wave1_2022-1.tab,3.0
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,https://doi.org/10.7910/DVN/QDK2ZO,10.7910/dvn/qdk2zo,cc0,below_min_n,Only 6 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,111199,6,121,153.1667,rawdata_919.tab,0.0
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,https://doi.org/10.7910/DVN/QDK2ZO,10.7910/dvn/qdk2zo,cc0,below_min_n,Only 6 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,111199,6,121,153.1667,rawdata_919.tab,0.0
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,https://doi.org/10.7910/DVN/QDK2ZO,10.7910/dvn/qdk2zo,cc0,below_min_n,Only 6 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,111199,6,121,153.1667,rawdata_919.tab,0.0
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,https://doi.org/10.7910/DVN/QDK2ZO,10.7910/dvn/qdk2zo,cc0,below_min_n,Only 6 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,111199,6,121,153.1667,rawdata_919.tab,0.0
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,https://doi.org/10.7910/DVN/QDK2ZO,10.7910/dvn/qdk2zo,cc0,below_min_n,Only 6 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,111199,6,121,153.1667,rawdata_919.tab,0.0
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,https://doi.org/10.7910/DVN/D6WWCK,10.7910/dvn/d6wwck,cc0,below_min_n,Only 5 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,104257,5,137,152.2,DATA.tab,4.0
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,https://doi.org/10.7910/DVN/D6WWCK,10.7910/dvn/d6wwck,cc0,below_min_n,Only 5 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,104257,5,137,152.2,DATA.tab,4.0
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,https://doi.org/10.7910/DVN/D6WWCK,10.7910/dvn/d6wwck,cc0,below_min_n,Only 5 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,104257,5,137,152.2,DATA.tab,4.0
dataverse,Demographic Literacy of Undergraduate Political Science Students,https://doi.org/10.7910/DVN/FRYK4A,10.7910/dvn/fryk4a,cc0,below_min_n,Only 11 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,4414,11,12,33.4394,Class Survey.2013-2026.pop new (1).xlsx,0.0
dataverse,Visible but not always usable: polarized generative artificial intelligence governance in university-linked Asian journals,https://doi.org/10.7910/DVN/TPCJ1A,10.7910/dvn/tpcj1a,cc0,below_min_n,Only 75 distinct respondents — below the IRW floor of 100. Skip; no human review needed.,1861,75,25,0.9925,Dataset 1..tab,1.0
dataverse,Replication Data for: Cult of Personality or Lack of Competition? Determining Trump’s Sway Over Republican Partisans on a Critical Case,https://doi.org/10.7910/DVN/QDVCO2,10.7910/dvn/qdvco2,cc0,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,,
dataverse,Replication Code for: Mapping the Mechanisms of Interdisciplinary Learning Transfer from Reading to Math Achievement: Evidence from a Large-Scale Randomized Controlled Trial,https://doi.org/10.7910/DVN/SP87ZL,10.7910/dvn/sp87zl,cc-by-nc-sa,license_restricted,license 'cc-by-nc-sa' does not permit redistribution,,,,,,
dataverse,"Replication Data for: Thinking Machines, Pondering Humans: Public Perception of Artificial Intelligence",https://doi.org/10.7910/DVN/GJW7TL,10.7910/dvn/gjw7tl,cc-by-nc-sa,license_restricted,license 'cc-by-nc-sa' does not permit redistribution,,,,,,
dataverse,"Replication Data for Socio-Political Activism, Brand Personality, and Social Media Engagement",https://doi.org/10.7910/DVN/7P3PFB,10.7910/dvn/7p3pfb,access-can-be-requested-from-the-authors.,download_failed,403 Client Error: Forbidden for url: https://dataverse.harvard.edu/api/access/datafile/13729007,,,,,Study2.tab,
dataverse,"Replication Data for: When Climate Policy Resonates: The Interplay of Framing, Party Preference, and Political Trust in Shaping Policy Acceptance",https://doi.org/10.7910/DVN/FG3CCK,10.7910/dvn/fg3cck,cc0,download_failed,403 Client Error: Forbidden for url: https://dataverse.harvard.edu/api/access/datafile/14092592,,,,,Replication_data.tab,
