cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19,cbi20,cbi21,cbi22,cbi23,cbi24,cbi25,cbi26,cbi27,cbi28,age,gender,study,id
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.0,0,contour,student_001
0,1,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,0,1,3,3,1,1,0,3,1,1,0,18.0,0,contour,student_002
3,0,1,0,3,2,2,0,0,0,3,0,2,3,2,2,2,1,3,1,0,1,3,3,1,3,0,3,18.0,1,contour,student_003
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,0,0,18.0,0,contour,student_004
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,19.0,1,contour,student_005
3,3,0,0,2,0,0,0,3,0,1,2,0,0,0,0,0,0,3,1,2,0,3,0,1,0,0,3,19.0,1,contour,student_006
1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,19.0,0,contour,student_007
3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1,0,1,18.0,1,contour,student_008
3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,18.0,1,contour,student_009
2,1,0,1,2,0,0,0,1,0,2,3,0,2,0,0,0,0,1,1,2,1,1,0,0,0,1,0,18.0,1,contour,student_010
1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.0,1,contour,student_011
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,19.0,0,contour,student_012
0,1,0,3,0,0,1,1,0,0,1,1,0,2,0,0,0,1,3,0,2,0,0,2,0,2,1,1,20.0,0,contour,student_013
0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,20.0,0,contour,student_014
2,0,0,0,2,0,2,1,3,0,1,1,0,1,0,0,0,0,3,2,2,1,0,2,0,3,0,0,19.0,0,contour,student_015
1,1,0,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,3,2,1,0,0,1,0,3,0,0,19.0,0,contour,student_016
3,1,0,0,3,1,2,1,1,2,1,1,1,1,1,1,2,1,3,2,3,1,0,2,3,3,3,2,24.0,1,contour,student_017
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20.0,1,contour,student_018
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,19.0,1,contour,student_019
1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20.0,1,contour,student_020
2,0,0,0,1,0,1,1,3,0,1,2,0,2,0,0,1,0,0,3,0,0,3,3,0,1,0,1,18.0,1,contour,student_021
0,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,20.0,1,contour,student_022
1,1,1,0,3,0,1,0,1,0,0,0,1,2,1,0,0,0,2,2,1,2,0,2,0,2,1,0,21.0,0,contour,student_023
1,1,0,1,3,0,0,3,0,0,2,2,3,3,0,1,1,1,1,0,3,0,1,2,0,3,1,2,19.0,1,contour,student_024
1,1,1,1,1,0,1,0,2,0,0,0,1,1,0,1,1,0,3,3,0,2,1,0,2,2,2,1,19.0,0,contour,student_025
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0,0,contour,student_026
1,1,1,1,2,0,1,0,3,0,0,0,0,2,0,1,0,0,2,3,3,0,2,0,1,1,2,1,21.0,0,contour,student_027
3,1,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,3,0,1,0,1,2,0,2,2,0,18.0,0,contour,student_028
2,1,0,1,2,0,0,0,3,1,0,1,0,1,0,0,1,0,2,0,2,0,2,0,2,2,0,0,19.0,1,contour,student_029
0,1,0,3,0,0,0,0,3,0,2,0,0,0,1,0,0,0,3,1,1,0,1,1,0,3,0,0,19.0,0,contour,student_030
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18.0,1,contour,student_031
2,3,0,1,0,0,1,1,2,0,1,1,0,3,0,0,0,0,0,1,0,0,1,1,0,1,0,1,19.0,1,contour,student_032
0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,19.0,0,contour,student_033
1,0,2,0,1,0,2,0,2,0,0,0,2,0,1,1,0,0,3,0,1,0,0,1,0,3,3,0,19.0,0,contour,student_034
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,18.0,0,contour,student_035
0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,18.0,1,contour,student_036
3,1,0,0,2,0,1,0,1,0,1,1,0,2,0,0,0,0,1,1,0,0,1,1,0,2,0,0,19.0,0,contour,student_037
0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,19.0,0,contour,student_038
1,0,2,0,3,0,0,0,0,0,1,1,0,2,2,1,3,0,0,0,0,1,3,1,0,3,1,1,19.0,1,contour,student_039
3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,20.0,1,contour,student_040
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,19.0,0,contour,student_041
3,1,0,0,3,3,1,0,0,0,1,1,0,2,1,1,0,2,1,0,1,0,3,0,0,3,3,0,18.0,1,contour,student_042
2,0,0,1,3,3,0,0,0,0,0,0,3,2,0,2,2,1,0,0,1,0,3,1,1,1,2,0,19.0,1,ESMcreativity,student_043
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,2,0,18.0,1,ESMcreativity,student_044
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,19.0,1,ESMcreativity,student_045
3,0,0,0,3,0,3,0,3,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,3,3,0,25.0,0,ESMcreativity,student_046
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,1,ESMcreativity,student_047
0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,18.0,1,ESMcreativity,student_048
2,2,0,0,3,0,0,0,3,0,1,0,0,0,0,1,0,2,2,2,2,1,2,0,0,2,0,2,18.0,1,ESMcreativity,student_049
3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,3,3,0,0,2,0,0,0,3,0,0,19.0,1,ESMcreativity,student_050
