table,ref,n_rows,n_ids,n_null,n_bad_rows,n_bad_ids,share_bad_ids,ok_min,ok_max,bad_values,error,disposition
acunamora_2018_gypes,datapages.item_response_warehouse_3:5xaj:v3_0.acunamora_2018_gypes:hqxv,4095,273,0,30,2,0.00733,12.0,30.0,999:2,,repaired to NULL and uploaded 2026-09-03
alkouri_2025_coping,datapages.item_response_warehouse_3:5xaj:v3_0.alkouri_2025_coping:dy3j,2413,127,57,38,2,0.01575,4.0,26.0,1999:2,,repaired to NULL and uploaded 2026-09-03
alkouri_2025_icu_stressors,datapages.item_response_warehouse_3:5xaj:v3_0.alkouri_2025_icu_stressors:wtff,3683,127,87,58,2,0.01575,4.0,26.0,1999:2,,repaired to NULL and uploaded 2026-09-03
anunciacao_2025_emotional_responsibility,datapages.item_response_warehouse_2:epbx:v12_0.anunciacao_2025_emotional_responsibility:fr4r,64800,8100,2264,8,1,0.00012,0.0,118.0,-18090:1,,repaired to NULL and uploaded 2026-09-03
anunciacao_2025_emotional_relationships,datapages.item_response_warehouse_2:epbx:v12_0.anunciacao_2025_emotional_relationships:v1aw,81000,8100,2830,10,1,0.00012,0.0,118.0,-18090:1,,repaired to NULL and uploaded 2026-09-03
anunciacao_2025_emotional_self-awareness,datapages.item_response_warehouse_2:epbx:v12_0.anunciacao_2025_emotional_self_awareness:m11z,32400,8100,1132,4,1,0.00012,0.0,118.0,-18090:1,,repaired to NULL and uploaded 2026-09-03
anunciacao_2025_emotional_management,datapages.item_response_warehouse_2:epbx:v12_0.anunciacao_2025_emotional_management:t98m,72900,8100,2547,9,1,0.00012,0.0,118.0,-18090:1,,repaired to NULL and uploaded 2026-09-03
anunciacao_2025_emotional_social-awareness,datapages.item_response_warehouse_2:epbx:v12_0.anunciacao_2025_emotional_social_awareness:1q41,64800,8100,2264,8,1,0.00012,0.0,118.0,-18090:1,,"repaired to NULL and staged 2026-09-03 in cov_age_long_names/: the over-40-character name is grandfathered, ruled 2026-09-03"
bfi_goldberg_1992_extraversion,datapages.item_response_warehouse:as2e:v46_0.bfi_goldberg_1992_extraversion:bgwc,197190,19719,0,820,82,0.00416,13.0,118.0,188:2|191:1|208:1|211:1|223:1|266:1|1961:1|1964:1|1968:1|1974:1|1976:2|1977:1|1982:4|1984:2|1985:2|1986:2|1988:1|1989:5|1990:3|1991:3|1992:9|1993:5|1994:8|1995:5|1996:7|1997:4|1998:4|1999:1|2000:1|412434:1|1e+09:1,,"repaired to NULL and staged 2026-09-03: collection year is only 'c. 2012' in the codebook, so the 82 birth years are not recoverable without fabricating precision"
bfi_goldberg_1992_neuroticism,datapages.item_response_warehouse:as2e:v46_0.bfi_goldberg_1992_neuroticism:wgj3,197190,19719,0,820,82,0.00416,13.0,118.0,188:2|191:1|208:1|211:1|223:1|266:1|1961:1|1964:1|1968:1|1974:1|1976:2|1977:1|1982:4|1984:2|1985:2|1986:2|1988:1|1989:5|1990:3|1991:3|1992:9|1993:5|1994:8|1995:5|1996:7|1997:4|1998:4|1999:1|2000:1|412434:1|1e+09:1,,"repaired to NULL and staged 2026-09-03: collection year is only 'c. 2012' in the codebook, so the 82 birth years are not recoverable without fabricating precision"
bfi_goldberg_1992_conscientiousness,datapages.item_response_warehouse:as2e:v46_0.bfi_goldberg_1992_conscientiousness:w91c,197190,19719,0,820,82,0.00416,13.0,118.0,188:2|191:1|208:1|211:1|223:1|266:1|1961:1|1964:1|1968:1|1974:1|1976:2|1977:1|1982:4|1984:2|1985:2|1986:2|1988:1|1989:5|1990:3|1991:3|1992:9|1993:5|1994:8|1995:5|1996:7|1997:4|1998:4|1999:1|2000:1|412434:1|1e+09:1,,"repaired to NULL and staged 2026-09-03: collection year is only 'c. 2012' in the codebook, so the 82 birth years are not recoverable without fabricating precision"
bfi_goldberg_1992_agreeableness,datapages.item_response_warehouse:as2e:v46_0.bfi_goldberg_1992_agreeableness:3207,197190,19719,0,820,82,0.00416,13.0,118.0,188:2|191:1|208:1|211:1|223:1|266:1|1961:1|1964:1|1968:1|1974:1|1976:2|1977:1|1982:4|1984:2|1985:2|1986:2|1988:1|1989:5|1990:3|1991:3|1992:9|1993:5|1994:8|1995:5|1996:7|1997:4|1998:4|1999:1|2000:1|412434:1|1e+09:1,,"repaired to NULL and staged 2026-09-03: collection year is only 'c. 2012' in the codebook, so the 82 birth years are not recoverable without fabricating precision"
bfi_goldberg_1992_openness_to_experience,datapages.item_response_warehouse:as2e:v46_0.bfi_goldberg_1992_openness_to_experience:a0kr,197190,19719,0,820,82,0.00416,13.0,118.0,188:2|191:1|208:1|211:1|223:1|266:1|1961:1|1964:1|1968:1|1974:1|1976:2|1977:1|1982:4|1984:2|1985:2|1986:2|1988:1|1989:5|1990:3|1991:3|1992:9|1993:5|1994:8|1995:5|1996:7|1997:4|1998:4|1999:1|2000:1|412434:1|1e+09:1,,"repaired to NULL and staged 2026-09-03: collection year is only 'c. 2012' in the codebook, so the 82 birth years are not recoverable without fabricating precision"
