table,shard,column,n_na
AMI_CV_Hewitt2024,item_response_warehouse,age,18
BAFACALO_Golino_2013_BVPS,item_response_warehouse,age,5146
BAFACALO_Golino_2013_CIS,item_response_warehouse,age,4980
BAFACALO_Golino_2013_FIS,item_response_warehouse,age,4980
BAFACALO_Golino_2013_SMS,item_response_warehouse,age,3071
MEFSIRODGAS_Nileksela_2023_freq,item_response_warehouse,age,4641
MEFSIRODGAS_Nileksela_2023_severity,item_response_warehouse,age,4641
SV-MAIA2_Randelovic_2021_DASS,item_response_warehouse,date,21
SV-MAIA2_Randelovic_2021_MAIA,item_response_warehouse,wave,8140
SV-MAIA2_Randelovic_2021_MAIA,item_response_warehouse,date,5846
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,date,1796
SV-MAIA2_Randelovic_2021_SHS,item_response_warehouse,wave,880
SV-MAIA2_Randelovic_2021_hexaco60,item_response_warehouse,date,240
anunciacao_2025_personality_achievement,item_response_warehouse_2,cov_age,27
anunciacao_2025_personality_affiliation,item_response_warehouse_2,cov_age,27
anunciacao_2025_personality_aggression,item_response_warehouse_2,cov_age,15
anunciacao_2025_personality_autonomy,item_response_warehouse_2,cov_age,27
anunciacao_2025_personality_change,item_response_warehouse_2,cov_age,21
anunciacao_2025_personality_deference,item_response_warehouse_2,cov_age,27
anunciacao_2025_personality_dominance,item_response_warehouse_2,cov_age,21
anunciacao_2025_personality_exhibition,item_response_warehouse_2,cov_age,27
anunciacao_2025_personality_intraception,item_response_warehouse_2,cov_age,21
anunciacao_2025_personality_nurturance,item_response_warehouse_2,cov_age,24
anunciacao_2025_personality_order,item_response_warehouse_2,cov_age,18
anunciacao_2025_personality_persistence,item_response_warehouse_2,cov_age,24
anunciacao_2025_personality_succorance,item_response_warehouse_2,cov_age,21
artistic_preferences,item_response_warehouse,rt,482957
bfi_goldberg_1992_agreeableness,item_response_warehouse,cov_race,1530
bfi_goldberg_1992_agreeableness,item_response_warehouse,cov_hand,1000
bfi_goldberg_1992_agreeableness,item_response_warehouse,cov_engnat,700
bfi_goldberg_1992_agreeableness,item_response_warehouse,cov_gender,240
bfi_goldberg_1992_agreeableness,item_response_warehouse,cov_country,80
bfi_goldberg_1992_conscientiousness,item_response_warehouse,cov_race,1530
bfi_goldberg_1992_conscientiousness,item_response_warehouse,cov_hand,1000
bfi_goldberg_1992_conscientiousness,item_response_warehouse,cov_engnat,700
bfi_goldberg_1992_conscientiousness,item_response_warehouse,cov_gender,240
bfi_goldberg_1992_conscientiousness,item_response_warehouse,cov_country,80
bfi_goldberg_1992_extraversion,item_response_warehouse,cov_race,1530
bfi_goldberg_1992_extraversion,item_response_warehouse,cov_hand,1000
bfi_goldberg_1992_extraversion,item_response_warehouse,cov_engnat,700
bfi_goldberg_1992_extraversion,item_response_warehouse,cov_gender,240
bfi_goldberg_1992_extraversion,item_response_warehouse,cov_country,80
bfi_goldberg_1992_neuroticism,item_response_warehouse,cov_race,1530
bfi_goldberg_1992_neuroticism,item_response_warehouse,cov_hand,1000
bfi_goldberg_1992_neuroticism,item_response_warehouse,cov_engnat,700
bfi_goldberg_1992_neuroticism,item_response_warehouse,cov_gender,240
bfi_goldberg_1992_neuroticism,item_response_warehouse,cov_country,80
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,cov_race,1530
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,cov_hand,1000
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,cov_engnat,700
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,cov_gender,240
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,cov_country,80
brain_hemisphere,item_response_warehouse,rt,5627
brand_raffaelli_2024_familiarity_24,item_response_warehouse,cov_age,885
brand_raffaelli_2024_familiarity_24,item_response_warehouse,cov_gender,885
brand_raffaelli_2024_familiarity_24,item_response_warehouse,cov_condition,59
brand_raffaelli_2024_liking_24,item_response_warehouse,cov_age,885
brand_raffaelli_2024_liking_24,item_response_warehouse,cov_gender,885
brand_raffaelli_2024_liking_24,item_response_warehouse,cov_condition,59
credentialform_lnirt,item_response_warehouse,rt,32720
