"item","source_col_position","item_text","options"
"whoqol_1",2,"How would you rate your quality of life?","1=Very poor | 2=Poor | 3=Neither poor nor good | 4=Good | 5=Very good"
"whoqol_2",3,"How satisfied are you with your health?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_3",4,"To what extent do you feel that physical pain prevents you from doing what you need to do?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=An extreme amount"
"whoqol_4",5,"How much do you need any medical treatment to function in your daily life?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=An extreme amount"
"whoqol_5",6,"How much do you enjoy life?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=An extreme amount"
"whoqol_6",7,"To what extent do you feel your life to be meaningful?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=Extremely"
"whoqol_7",8,"How well are you able to concentrate?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=Extremely"
"whoqol_8",9,"How safe do you feel in your daily life?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=Extremely"
"whoqol_9",10,"How healthy is your physical environment?","1=Not at all | 2=A little | 3=A moderate amount | 4=Very much | 5=Extremely"
"whoqol_10",11,"Do you have enough energy for everyday life?","1=Not at all | 2=A little | 3=Moderately | 4=Mostly | 5=Completely"
"whoqol_11",12,"Are you able to accept your bodily appearance?","1=Not at all | 2=A little | 3=Moderately | 4=Mostly | 5=Completely"
"whoqol_12",13,"Have you enough money to meet your needs?","1=Not at all | 2=A little | 3=Moderately | 4=Mostly | 5=Completely"
"whoqol_13",14,"How available to you is the information you need in your daily life?","1=Not at all | 2=A little | 3=Moderately | 4=Mostly | 5=Completely"
"whoqol_14",15,"To what extent do you have the opportunity for leisure activities?","1=Not at all | 2=A little | 3=Moderately | 4=Mostly | 5=Completely"
"whoqol_15",16,"How well are you able to get around physically?","1=Very poor | 2=Poor | 3=Neither poor nor good | 4=Good | 5=Very good"
"whoqol_16",17,"How satisfied are you with your sleep?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_17",18,"How satisfied are you with your ability to perform your daily living activities?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_18",19,"How satisfied are you with your capacity for work.","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_19",20,"How satisfied are you with yourself?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_20",21,"How satisfied are you with your personal relationships?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_21",22,"How satisfied are you with your sex life?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_22",23,"How satisfied are you with the support you get from your friends?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_23",24,"How satisfied are you with the conditions of your living place?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_24",25,"How satisfied are you with your access to health services?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_25",26,"How satisfied are you with your transport?","1=Very dissatisfied | 2=Dissatisfied | 3=Neither satisfied nor dissatisfied | 4=Satisfied | 5=Very satisfied"
"whoqol_26",27,"How often do you have negative feelings such as blue mood, despair, anxiety or depression?","1=Never | 2=Seldom | 3=Quite often | 4=Very often | 5=Always"
