"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ali_2021_iesr","ali_2021_iesr_1","iesr_1","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Any reminder brought back feelings about it.",NA,"Not at all",0
"ali_2021_iesr","ali_2021_iesr_1","iesr_1","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Any reminder brought back feelings about it.",NA,"A little bit",1
"ali_2021_iesr","ali_2021_iesr_1","iesr_1","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Any reminder brought back feelings about it.",NA,"Moderately",2
"ali_2021_iesr","ali_2021_iesr_1","iesr_1","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Any reminder brought back feelings about it.",NA,"Quite a bit",3
"ali_2021_iesr","ali_2021_iesr_1","iesr_1","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Any reminder brought back feelings about it.",NA,"Extremely",4
"ali_2021_iesr","ali_2021_iesr_1","iesr_2","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"I had trouble staying asleep.",NA,"Not at all",0
"ali_2021_iesr","ali_2021_iesr_1","iesr_2","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"I had trouble staying asleep.",NA,"A little bit",1
"ali_2021_iesr","ali_2021_iesr_1","iesr_2","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"I had trouble staying asleep.",NA,"Moderately",2
"ali_2021_iesr","ali_2021_iesr_1","iesr_2","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"I had trouble staying asleep.",NA,"Quite a bit",3
"ali_2021_iesr","ali_2021_iesr_1","iesr_2","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"I had trouble staying asleep.",NA,"Extremely",4
"ali_2021_iesr","ali_2021_iesr_1","iesr_3","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Other things kept making me think about it.",NA,"Not at all",0
"ali_2021_iesr","ali_2021_iesr_1","iesr_3","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Other things kept making me think about it.",NA,"A little bit",1
"ali_2021_iesr","ali_2021_iesr_1","iesr_3","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Other things kept making me think about it.",NA,"Moderately",2
"ali_2021_iesr","ali_2021_iesr_1","iesr_3","Impact of Event Scale-Revised (IES-R; Weiss & Marmar, 1997)","Below is a list of difficulties people sometimes have after stressful life events. Please indicate how much you were distressed or bothered by each difficulty.",NA,"Other things kept making me think about it.",NA,"Quite a bit",3
