"table","section_id","item","item_text","correct_response","section_prompt","instrument","instructions","option_text","resp"
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_01","I feel that others do things much better than I do",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_02","I feel confident in my ability to deal with people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_03","I feel that I am likely to fail at things I do.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_04","I feel that people really like to talk with me.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_05","I feel that I am a very competent person.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_06","When I am with other people, I feel that they are glad I am with them.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_07","I feel that I make a good impression on others.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_08","I feel confident that I can begin new relationships if I want to.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_09","I feel ashamed about myself.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A good part of the time",5
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Most of the time",6
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_10","I feel inferior to other people.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Always",7
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_11","I feel that my friends find me interesting.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Never",1
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_11","I feel that my friends find me interesting.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Rarely",2
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_11","I feel that my friends find me interesting.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","A little of the time",3
"alsuhibani_2022_sers","alsuhibani_2022_sers_1","SERS_11","I feel that my friends find me interesting.",NA,NA,"Self-Esteem Rating Scale-Short Form (SERS)","Participants rate each statement from 1, ""never"", to 7, ""always"".","Some of the time",4
