"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D1","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Mobility",NA,"I have no problems in walking about",0
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D1","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Mobility",NA,"I have some problems in walking about",1
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D1","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Mobility",NA,"I am confined to bed",2
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D2","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Self-Care",NA,"I have no problems with self-care",0
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D2","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Self-Care",NA,"I have some problems washing or dressing myself",1
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D2","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Self-Care",NA,"I am unable to wash or dress myself",2
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D3","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Usual Activities",NA,"I have no problems with performing my usual activities",0
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D3","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Usual Activities",NA,"I have some problems",1
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D3","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Usual Activities",NA,"I am unable to perform my usual activities",2
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D4","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Pain / Discomfort",NA,"I have no pain or discomfort",0
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D4","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Pain / Discomfort",NA,"I have moderate pain or discomfort",1
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D4","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Pain / Discomfort",NA,"I have extreme pain or discomfort",2
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D5","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Anxiety / Depression",NA,"I am not anxious or depressed",0
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D5","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Anxiety / Depression",NA,"I am moderately anxious or depressed",1
"amarilla_2020_eq5d","amarilla_2020_eq5d_1","EQ5D5","EQ-5D (3-level) health status questionnaire","By placing a tick in one box in each group below, please indicate which statements best describe your own health state today.",NA,"Anxiety / Depression",NA,"I am extremely anxious or depressed",2
