"table","section_id","item","item_text","correct_response","section_prompt","instrument","instructions","option_text","resp"
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_1","lawtonbrody_1","Ability to use telephone",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Operates telephone on own initiative; looks up and dials numbers, etc.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_1","lawtonbrody_1","Ability to use telephone",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Dials a few well-known numbers",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_1","lawtonbrody_1","Ability to use telephone",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Answers telephone but does not dial",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_1","lawtonbrody_1","Ability to use telephone",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Does not use telephone at all.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_2","lawtonbrody_2","Shopping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Takes care of all shopping needs independently",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_2","lawtonbrody_2","Shopping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Shops independently for small purchases",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_2","lawtonbrody_2","Shopping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Needs to be accompanied on any shopping trip.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_2","lawtonbrody_2","Shopping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Completely unable to shop.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_3","lawtonbrody_3","Food Preparation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Plans, prepares and serves adequate meals independently",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_3","lawtonbrody_3","Food Preparation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Prepares adequate meals if supplied with ingredients",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_3","lawtonbrody_3","Food Preparation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Heats, serves and prepares meals or prepares meals but does not maintain adequate diet.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_3","lawtonbrody_3","Food Preparation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Needs to have meals prepared and served.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_4","lawtonbrody_4","Housekeeping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Maintains house alone or with occasional assistance (e.g. ""heavy work domestic help"")",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_4","lawtonbrody_4","Housekeeping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Performs light daily tasks such as dish-washing, bed making",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_4","lawtonbrody_4","Housekeeping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Performs light daily tasks but cannot maintain acceptable level of cleanliness.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_4","lawtonbrody_4","Housekeeping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Needs help with all home maintenance tasks.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_4","lawtonbrody_4","Housekeeping",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Does not participate in any housekeeping tasks.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_5","lawtonbrody_5","Laundry",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Does personal laundry completely",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_5","lawtonbrody_5","Laundry",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Launders small items; rinses stockings, etc.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_5","lawtonbrody_5","Laundry",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"All laundry must be done by others.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_6","lawtonbrody_6","Mode of Transportation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Travels independently on public transportation or drives own car.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_6","lawtonbrody_6","Mode of Transportation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Arranges own travel via taxi, but does not otherwise use public transportation.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_6","lawtonbrody_6","Mode of Transportation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Travels on public transportation when accompanied by another.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_6","lawtonbrody_6","Mode of Transportation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Travel limited to taxi or automobile with assistance of another.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_6","lawtonbrody_6","Mode of Transportation",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Does not travel at all.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_7","lawtonbrody_7","Responsibility for own medications",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Is responsible for taking medication in correct dosages at correct time.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_7","lawtonbrody_7","Responsibility for own medications",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Takes responsibility if medication is prepared in advance in separate dosage.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_7","lawtonbrody_7","Responsibility for own medications",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Is not capable of dispensing own medication.",0
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_8","lawtonbrody_8","Ability to Handle Finances",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Manages financial matters independently (budgets, writes checks, pays rent, bills goes to bank), collects and keeps track of income.",1
"amarilla_2020_lawton_brody","amarilla_2020_lawton_brody_lawtonbrody_8","lawtonbrody_8","Ability to Handle Finances",NA,NA,"Lawton-Brody Instrumental Activities of Daily Living (IADL) Scale",NA,"Manages day-to-day purchases, but needs help with banking, major purchases, etc.",1
