"table","section_id","item","item_text","correct_response","section_prompt","instrument","instructions","option_text","resp"
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"Some of the time",4
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"A little of the time",5
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"None of the time",6
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"Most of the time",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"A good bit of the time",3
"amarilla_2020_sf12","amarilla_2020_sf12_1","MH4","Have you felt down-hearted and blue?",NA,NA,"SF-12 Health Survey",NA,"All of the time",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF02","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? MODERATE ACTIVITIES, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf:",NA,NA,"SF-12 Health Survey",NA,"Yes, limited a lot",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF02","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? MODERATE ACTIVITIES, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf:",NA,NA,"SF-12 Health Survey",NA,"No, not limited at all",3
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF02","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? MODERATE ACTIVITIES, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf:",NA,NA,"SF-12 Health Survey",NA,"Yes, limited a little",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF04","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? Climbing SEVERAL flights of stairs:",NA,NA,"SF-12 Health Survey",NA,"Yes, limited a lot",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF04","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? Climbing SEVERAL flights of stairs:",NA,NA,"SF-12 Health Survey",NA,"Yes, limited a little",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","PF04","Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? Climbing SEVERAL flights of stairs:",NA,NA,"SF-12 Health Survey",NA,"No, not limited at all",3
