"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"baka2023_olbi","baka2023_olbi_1","OLBI_1","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Są dni, kiedy już przed pracą czuje się zmęczony/a.",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_1","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Są dni, kiedy już przed pracą czuje się zmęczony/a.",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_1","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Są dni, kiedy już przed pracą czuje się zmęczony/a.",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_1","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Są dni, kiedy już przed pracą czuje się zmęczony/a.",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_2","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zwykle potrzebuję więcej czasu niż kiedyś, aby się zrelaksować i wrócić do formy.",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_2","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zwykle potrzebuję więcej czasu niż kiedyś, aby się zrelaksować i wrócić do formy.",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_2","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zwykle potrzebuję więcej czasu niż kiedyś, aby się zrelaksować i wrócić do formy.",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_2","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zwykle potrzebuję więcej czasu niż kiedyś, aby się zrelaksować i wrócić do formy.",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_3","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Dość dobrze znoszę presję związaną z moją pracą.",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_3","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Dość dobrze znoszę presję związaną z moją pracą.",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_3","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Dość dobrze znoszę presję związaną z moją pracą.",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_3","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Dość dobrze znoszę presję związaną z moją pracą.",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_4","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"W czasie pracy coraz częściej czuję się emocjonalnie wyczerpany(a).",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_4","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"W czasie pracy coraz częściej czuję się emocjonalnie wyczerpany(a).",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_4","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"W czasie pracy coraz częściej czuję się emocjonalnie wyczerpany(a).",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_4","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"W czasie pracy coraz częściej czuję się emocjonalnie wyczerpany(a).",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_5","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy z reguły mam dość siły, aby zająć się czymś dla własnej przyjemności.",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_5","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy z reguły mam dość siły, aby zająć się czymś dla własnej przyjemności.",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_5","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy z reguły mam dość siły, aby zająć się czymś dla własnej przyjemności.",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_5","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy z reguły mam dość siły, aby zająć się czymś dla własnej przyjemności.",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_6","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zazwyczaj czuję się wykończony(a) i znużony(a).",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_6","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zazwyczaj czuję się wykończony(a) i znużony(a).",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_6","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zazwyczaj czuję się wykończony(a) i znużony(a).",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_6","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Po pracy zazwyczaj czuję się wykończony(a) i znużony(a).",NA,"Completely disagree",4
"baka2023_olbi","baka2023_olbi_1","OLBI_7","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Zazwyczaj, dobrze daję sobie radę z ilością pracy, jaką mam wykonać.",NA,"Completely agree",1
"baka2023_olbi","baka2023_olbi_1","OLBI_7","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Zazwyczaj, dobrze daję sobie radę z ilością pracy, jaką mam wykonać.",NA,"Rather agree",2
"baka2023_olbi","baka2023_olbi_1","OLBI_7","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Zazwyczaj, dobrze daję sobie radę z ilością pracy, jaką mam wykonać.",NA,"Rather disagree",3
"baka2023_olbi","baka2023_olbi_1","OLBI_7","Oldenburg Burnout Inventory (OLBI), Polish version (8-item form administered)",NA,NA,"Zazwyczaj, dobrze daję sobie radę z ilością pracy, jaką mam wykonać.",NA,"Completely disagree",4
