"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"buzgova_2023_gds","buzgova_2023_gds_1","gds1","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you basically satisfied with your life?",NA,"Yes",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds1","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you basically satisfied with your life?",NA,"No",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds2","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Have you dropped many of your activities and interests?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds2","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Have you dropped many of your activities and interests?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds3","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel that your life is empty?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds3","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel that your life is empty?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds4","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you often get bored?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds4","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you often get bored?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds5","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you in good spirits most of the time?",NA,"Yes",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds5","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you in good spirits most of the time?",NA,"No",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds6","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you afraid that something bad is going to happen to you?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds6","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Are you afraid that something bad is going to happen to you?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds7","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel happy most of the time?",NA,"Yes",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds7","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel happy most of the time?",NA,"No",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds8","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you often feel helpless?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds8","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you often feel helpless?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds9","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you prefer to stay at home, rather than going out and doing new things?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds9","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you prefer to stay at home, rather than going out and doing new things?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds10","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel you have more problems with memory than most?",NA,"No",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds10","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel you have more problems with memory than most?",NA,"Yes",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds11","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you think it is wonderful to be alive now?",NA,"Yes",0
"buzgova_2023_gds","buzgova_2023_gds_1","gds11","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you think it is wonderful to be alive now?",NA,"No",1
"buzgova_2023_gds","buzgova_2023_gds_1","gds12","Geriatric Depression Scale - Short Form (GDS-15)","Choose the best answer for how you have felt over the past week:",NA,"Do you feel pretty worthless the way you are now?",NA,"No",0
