"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c1","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your general attitude towards [Germany; Israel] on the (thermometer) scale ranging from 1=dislike to 5=like",NA,"Dislike",1
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c1","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your general attitude towards [Germany; Israel] on the (thermometer) scale ranging from 1=dislike to 5=like",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c1","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your general attitude towards [Germany; Israel] on the (thermometer) scale ranging from 1=dislike to 5=like",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c1","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your general attitude towards [Germany; Israel] on the (thermometer) scale ranging from 1=dislike to 5=like",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c1","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your general attitude towards [Germany; Israel] on the (thermometer) scale ranging from 1=dislike to 5=like",NA,"Like",5
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c2","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your respect for [Germany; Israel] on a scale ranging from 1=not very strong to 5=extremely strong",NA,"Not very strong",1
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c2","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your respect for [Germany; Israel] on a scale ranging from 1=not very strong to 5=extremely strong",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c2","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your respect for [Germany; Israel] on a scale ranging from 1=not very strong to 5=extremely strong",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c2","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your respect for [Germany; Israel] on a scale ranging from 1=not very strong to 5=extremely strong",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c2","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"Rate your respect for [Germany; Israel] on a scale ranging from 1=not very strong to 5=extremely strong",NA,"Extremely strong",5
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c26","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"In your opinion, is the attitude towards [Germany; Israel] projected in the article positive or negative? Please rate your position on a scale of 1 to 5 (1=very positive; 5=very negative)",NA,"Very negative",1
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c26","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"In your opinion, is the attitude towards [Germany; Israel] projected in the article positive or negative? Please rate your position on a scale of 1 to 5 (1=very positive; 5=very negative)",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c26","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"In your opinion, is the attitude towards [Germany; Israel] projected in the article positive or negative? Please rate your position on a scale of 1 to 5 (1=very positive; 5=very negative)",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c26","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"In your opinion, is the attitude towards [Germany; Israel] projected in the article positive or negative? Please rate your position on a scale of 1 to 5 (1=very positive; 5=very negative)",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_questions","c26","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,NA,"In your opinion, is the attitude towards [Germany; Israel] projected in the article positive or negative? Please rate your position on a scale of 1 to 5 (1=very positive; 5=very negative)",NA,"Very positive",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c3","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Untrustworthy-Trustworthy",NA,"Untrustworthy",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c3","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Untrustworthy-Trustworthy",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c3","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Untrustworthy-Trustworthy",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c3","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Untrustworthy-Trustworthy",NA,NA,4
