"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Uopšte ne",1,"Healthcare (e.g. diagnostic support, personalised medicine).","Not at all",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Ne previše",2,"Healthcare (e.g. diagnostic support, personalised medicine).","Not very much",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Onako",3,"Healthcare (e.g. diagnostic support, personalised medicine).","So-so",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Donekle",4,"Healthcare (e.g. diagnostic support, personalised medicine).","Somewhat",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Mnogo",5,"Healthcare (e.g. diagnostic support, personalised medicine).","A lot",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Uopšte ne",1,"Insurance (e.g. fraud detection, personalised risk assessment).","Not at all",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Ne previše",2,"Insurance (e.g. fraud detection, personalised risk assessment).","Not very much",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Onako",3,"Insurance (e.g. fraud detection, personalised risk assessment).","So-so",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Donekle",4,"Insurance (e.g. fraud detection, personalised risk assessment).","Somewhat",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_benefit","karajko2025_ai_benefit_1","p7_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P7, procjena koliko se VI koristi po sektorima",NA,"P7. U kojoj mjeri mislite da se VI koristi u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Mnogo",5,"Insurance (e.g. fraud detection, personalised risk assessment).","A lot",NA,"P7. To what extent do you think AI is used in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
