"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS1","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"When I was growing up at home. my family and I talked about money problems.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS1","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"When I was growing up at home. my family and I talked about money problems.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS1","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"When I was growing up at home. my family and I talked about money problems.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS1","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"When I was growing up at home. my family and I talked about money problems.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS1","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"When I was growing up at home. my family and I talked about money problems.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS2","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"Growing up at home. My family taught me the value of conserving money.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS2","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"Growing up at home. My family taught me the value of conserving money.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS2","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"Growing up at home. My family taught me the value of conserving money.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS2","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"Growing up at home. My family taught me the value of conserving money.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS2","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"Growing up at home. My family taught me the value of conserving money.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS3","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"As I was growing up. My family talked about building a decent credit score.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS3","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"As I was growing up. My family talked about building a decent credit score.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS3","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"As I was growing up. My family talked about building a decent credit score.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS3","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"As I was growing up. My family talked about building a decent credit score.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS3","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"As I was growing up. My family talked about building a decent credit score.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS4","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me how to be a wise consumer while I was growing up at home.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS4","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me how to be a wise consumer while I was growing up at home.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS4","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me how to be a wise consumer while I was growing up at home.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS4","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me how to be a wise consumer while I was growing up at home.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS4","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me how to be a wise consumer while I was growing up at home.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS5","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me as a child that my success in life is determined by the things I do.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS5","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me as a child that my success in life is determined by the things I do.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS5","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me as a child that my success in life is determined by the things I do.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS5","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me as a child that my success in life is determined by the things I do.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS5","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family taught me as a child that my success in life is determined by the things I do.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS6","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"While I was growing up at home. I received a regular allowance from my family.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS6","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"While I was growing up at home. I received a regular allowance from my family.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS6","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"While I was growing up at home. I received a regular allowance from my family.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS6","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"While I was growing up at home. I received a regular allowance from my family.",NA,NA,4,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS6","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"While I was growing up at home. I received a regular allowance from my family.",NA,"strongly agree",5,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS7","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family provided me with a savings account when I was growing up at home.",NA,"strongly disagree",1,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS7","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family provided me with a savings account when I was growing up at home.",NA,NA,2,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS7","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family provided me with a savings account when I was growing up at home.",NA,NA,3,NA,NA,NA,NA
"anh_2026_finsocialization","anh_2026_finsocialization_1","FS7","Family Financial Socialisation scale (Anh 2026; seven items adapted from Fan & Park)","Vietnamese",NA,NA,"My family provided me with a savings account when I was growing up at home.",NA,NA,4,NA,NA,NA,NA
