"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ01","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I don't like my teeth when I look at myself in the mirror",NA,"I do not agree",0,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ01","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I don't like my teeth when I look at myself in the mirror",NA,"I agree a little",1,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ01","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I don't like my teeth when I look at myself in the mirror",NA,"I somewhat agree",2,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ01","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I don't like my teeth when I look at myself in the mirror",NA,"I agree a lot",3,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ01","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I don't like my teeth when I look at myself in the mirror",NA,"I totally agree",4,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ02","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"When I smile, I sometimes try not to reveal my teeth completely",NA,"I do not agree",0,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ02","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"When I smile, I sometimes try not to reveal my teeth completely",NA,"I agree a little",1,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ02","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"When I smile, I sometimes try not to reveal my teeth completely",NA,"I somewhat agree",2,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ02","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"When I smile, I sometimes try not to reveal my teeth completely",NA,"I agree a lot",3,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ02","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"When I smile, I sometimes try not to reveal my teeth completely",NA,"I totally agree",4,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ03","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I sometimes envy friends whose teeth are more beautiful",NA,"I do not agree",0,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ03","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I sometimes envy friends whose teeth are more beautiful",NA,"I agree a little",1,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ03","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I sometimes envy friends whose teeth are more beautiful",NA,"I somewhat agree",2,NA,NA,NA,NA
"campos_2023_pidaq","campos_2023_pidaq_1","PIDAQ03","Psychosocial Impact of Dental Aesthetics Questionnaire (PIDAQ), 24-item version of Campos et al. (2020)","Finnish; Portuguese",NA,NA,"I sometimes envy friends whose teeth are more beautiful",NA,"I agree a lot",3,NA,NA,NA,NA
