"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Neutral",0
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Strongly disagree",1
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Disagree",2
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Slightly disagree",3
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Slightly agree",4
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Agree",5
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_1_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with my family",NA,"Strongly agree",6
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_2_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with people in my local community",NA,"Neutral",0
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_2_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with people in my local community",NA,"Strongly disagree",1
"ecps_sahm_2024_identity","ecps_sahm_2024_identity_1","identity_2_0neutral","COVIDiSTRESS Global Survey Round II: Group identification",NA,"Most of us belong to groups of various levels. Think about people in your life, both close to you and people that you have never met. Focus on how close you feel to/identify with different groups of people. Please indicate to what extent you agree with the following statements.","I identify with people in my local community",NA,"Disagree",2
