"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"promis1wave1_pain","promis1wave1_pain_1","PAINBE1","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I walked with a limp or distorted gait",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE1","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I walked with a limp or distorted gait",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE1","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I walked with a limp or distorted gait",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE1","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I walked with a limp or distorted gait",NA,"Often",4
"promis1wave1_pain","promis1wave1_pain_1","PAINBE1","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I walked with a limp or distorted gait",NA,"Always",5
"promis1wave1_pain","promis1wave1_pain_1","PAINBE10","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had minor aches and pains",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE10","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had minor aches and pains",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE10","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had minor aches and pains",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE10","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had minor aches and pains",NA,"Often",4
"promis1wave1_pain","promis1wave1_pain_1","PAINBE10","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had minor aches and pains",NA,"Always",5
"promis1wave1_pain","promis1wave1_pain_1","PAINBE11","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clenched my teeth",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE11","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clenched my teeth",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE11","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clenched my teeth",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE11","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clenched my teeth",NA,"Often",4
"promis1wave1_pain","promis1wave1_pain_1","PAINBE11","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clenched my teeth",NA,"Always",5
"promis1wave1_pain","promis1wave1_pain_1","PAINBE12","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clutched the part that hurt",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE12","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clutched the part that hurt",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE12","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clutched the part that hurt",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE12","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clutched the part that hurt",NA,"Often",4
"promis1wave1_pain","promis1wave1_pain_1","PAINBE12","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I clutched the part that hurt",NA,"Always",5
"promis1wave1_pain","promis1wave1_pain_1","PAINBE13","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I tried to stay very still",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE13","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I tried to stay very still",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE13","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I tried to stay very still",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE13","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I tried to stay very still",NA,"Often",4
"promis1wave1_pain","promis1wave1_pain_1","PAINBE13","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","When I was in pain I tried to stay very still",NA,"Always",5
"promis1wave1_pain","promis1wave1_pain_1","PAINBE14","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had soreness after moderate physical activity",NA,"Had no pain / Never",1
"promis1wave1_pain","promis1wave1_pain_1","PAINBE14","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had soreness after moderate physical activity",NA,"Rarely",2
"promis1wave1_pain","promis1wave1_pain_1","PAINBE14","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had soreness after moderate physical activity",NA,"Sometimes",3
"promis1wave1_pain","promis1wave1_pain_1","PAINBE14","PROMIS Wave 1 field test: Pain - Behavior item bank",NA,"In the past 7 days","I had soreness after moderate physical activity",NA,"Often",4
