"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Strongly disagree",1
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Disagree",2
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Somewhat disagree",3
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Neutral",4
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Somewhat agree",5
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Agree",6
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_1","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I am good at ‘‘sizing up’’ situations.",NA,"Strongly agree",7
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Strongly disagree",1
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Disagree",2
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Somewhat disagree",3
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Neutral",4
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Somewhat agree",5
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Agree",6
"conspiracy_asd__cognitive_flexibility","conspiracy_asd__cognitive_flexibility_1","cfi_2","Cognitive Flexibility Inventory (CFI)","Please use the scale below to indicate the extent to which you agree or disagree with the following statements:",NA,"I have a hard time making decisions when faced with difficult situations.",NA,"Strongly agree",7
