"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"dalky_2020_sf36","dalky_2020_sf36_1","H1hlthgeneral","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"In general, how do you find your health condition?",NA,"Excellent",1,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H1hlthgeneral","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"In general, how do you find your health condition?",NA,"Very good",2,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H1hlthgeneral","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"In general, how do you find your health condition?",NA,"Good",3,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H1hlthgeneral","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"In general, how do you find your health condition?",NA,"Okay",4,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H1hlthgeneral","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"In general, how do you find your health condition?",NA,"Bad",5,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H2healthcomplastyr","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"Comparing to the past year, how do you evaluate your health condition right now?",NA,"Much better",1,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H2healthcomplastyr","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"Comparing to the past year, how do you evaluate your health condition right now?",NA,"Sort of better",2,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H2healthcomplastyr","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"Comparing to the past year, how do you evaluate your health condition right now?",NA,"Almost the same",3,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H2healthcomplastyr","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"Comparing to the past year, how do you evaluate your health condition right now?",NA,"Sort of worse",4,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_1","H2healthcomplastyr","SF-36 Health Survey (Arabic version)","Arabic",NA,NA,"Comparing to the past year, how do you evaluate your health condition right now?",NA,"Much worse",5,NA,NA,NA,NA
"dalky_2020_sf36","dalky_2020_sf36_pf","physical1","SF-36 Health Survey (Arabic version)","Arabic",NA,"The following items are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much?","Doing hard activities like running, carrying heavy things or doing heavy exercises",NA,"Yes, it restricts me a lot",1,NA,NA,NA,NA
