"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_1","Short Dark Triad (SD3)",NA,NA,"It's not wise to tell your secrets.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_1","Short Dark Triad (SD3)",NA,NA,"It's not wise to tell your secrets.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_1","Short Dark Triad (SD3)",NA,NA,"It's not wise to tell your secrets.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_1","Short Dark Triad (SD3)",NA,NA,"It's not wise to tell your secrets.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_1","Short Dark Triad (SD3)",NA,NA,"It's not wise to tell your secrets.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_2","Short Dark Triad (SD3)",NA,NA,"I like to use clever manipulation to get my way.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_2","Short Dark Triad (SD3)",NA,NA,"I like to use clever manipulation to get my way.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_2","Short Dark Triad (SD3)",NA,NA,"I like to use clever manipulation to get my way.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_2","Short Dark Triad (SD3)",NA,NA,"I like to use clever manipulation to get my way.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_2","Short Dark Triad (SD3)",NA,NA,"I like to use clever manipulation to get my way.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_3","Short Dark Triad (SD3)",NA,NA,"Whatever it takes, you must get the important people on your side.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_3","Short Dark Triad (SD3)",NA,NA,"Whatever it takes, you must get the important people on your side.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_3","Short Dark Triad (SD3)",NA,NA,"Whatever it takes, you must get the important people on your side.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_3","Short Dark Triad (SD3)",NA,NA,"Whatever it takes, you must get the important people on your side.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_3","Short Dark Triad (SD3)",NA,NA,"Whatever it takes, you must get the important people on your side.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_4","Short Dark Triad (SD3)",NA,NA,"Avoid direct conflict with others because they may be useful in the future.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_4","Short Dark Triad (SD3)",NA,NA,"Avoid direct conflict with others because they may be useful in the future.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_4","Short Dark Triad (SD3)",NA,NA,"Avoid direct conflict with others because they may be useful in the future.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_4","Short Dark Triad (SD3)",NA,NA,"Avoid direct conflict with others because they may be useful in the future.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_4","Short Dark Triad (SD3)",NA,NA,"Avoid direct conflict with others because they may be useful in the future.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_5","Short Dark Triad (SD3)",NA,NA,"It's wise to keep track of information that you can use against people later.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_5","Short Dark Triad (SD3)",NA,NA,"It's wise to keep track of information that you can use against people later.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_5","Short Dark Triad (SD3)",NA,NA,"It's wise to keep track of information that you can use against people later.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_5","Short Dark Triad (SD3)",NA,NA,"It's wise to keep track of information that you can use against people later.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_5","Short Dark Triad (SD3)",NA,NA,"It's wise to keep track of information that you can use against people later.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_6","Short Dark Triad (SD3)",NA,NA,"You should wait for the right time to get back at people.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_6","Short Dark Triad (SD3)",NA,NA,"You should wait for the right time to get back at people.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_6","Short Dark Triad (SD3)",NA,NA,"You should wait for the right time to get back at people.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_6","Short Dark Triad (SD3)",NA,NA,"You should wait for the right time to get back at people.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_6","Short Dark Triad (SD3)",NA,NA,"You should wait for the right time to get back at people.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_7","Short Dark Triad (SD3)",NA,NA,"There are things you should hide from other people to preserve your reputation.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_7","Short Dark Triad (SD3)",NA,NA,"There are things you should hide from other people to preserve your reputation.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_7","Short Dark Triad (SD3)",NA,NA,"There are things you should hide from other people to preserve your reputation.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_7","Short Dark Triad (SD3)",NA,NA,"There are things you should hide from other people to preserve your reputation.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_7","Short Dark Triad (SD3)",NA,NA,"There are things you should hide from other people to preserve your reputation.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_8","Short Dark Triad (SD3)",NA,NA,"Make sure your plans benefit yourself, not others.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_8","Short Dark Triad (SD3)",NA,NA,"Make sure your plans benefit yourself, not others.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_8","Short Dark Triad (SD3)",NA,NA,"Make sure your plans benefit yourself, not others.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_8","Short Dark Triad (SD3)",NA,NA,"Make sure your plans benefit yourself, not others.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_8","Short Dark Triad (SD3)",NA,NA,"Make sure your plans benefit yourself, not others.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_9","Short Dark Triad (SD3)",NA,NA,"Most people can be manipulated.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_9","Short Dark Triad (SD3)",NA,NA,"Most people can be manipulated.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_9","Short Dark Triad (SD3)",NA,NA,"Most people can be manipulated.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_9","Short Dark Triad (SD3)",NA,NA,"Most people can be manipulated.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_9","Short Dark Triad (SD3)",NA,NA,"Most people can be manipulated.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_10","Short Dark Triad (SD3)",NA,NA,"People see me as a natural leader.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_10","Short Dark Triad (SD3)",NA,NA,"People see me as a natural leader.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_10","Short Dark Triad (SD3)",NA,NA,"People see me as a natural leader.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_10","Short Dark Triad (SD3)",NA,NA,"People see me as a natural leader.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_10","Short Dark Triad (SD3)",NA,NA,"People see me as a natural leader.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_11","Short Dark Triad (SD3)",NA,NA,"I hate being the center of attention.",NA,"Agree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_11","Short Dark Triad (SD3)",NA,NA,"I hate being the center of attention.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_11","Short Dark Triad (SD3)",NA,NA,"I hate being the center of attention.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_11","Short Dark Triad (SD3)",NA,NA,"I hate being the center of attention.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_11","Short Dark Triad (SD3)",NA,NA,"I hate being the center of attention.",NA,"Disagree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_12","Short Dark Triad (SD3)",NA,NA,"Many group activities tend to be dull without me.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_12","Short Dark Triad (SD3)",NA,NA,"Many group activities tend to be dull without me.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_12","Short Dark Triad (SD3)",NA,NA,"Many group activities tend to be dull without me.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_12","Short Dark Triad (SD3)",NA,NA,"Many group activities tend to be dull without me.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_12","Short Dark Triad (SD3)",NA,NA,"Many group activities tend to be dull without me.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_13","Short Dark Triad (SD3)",NA,NA,"I know that I am special because everyone keeps telling me so.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_13","Short Dark Triad (SD3)",NA,NA,"I know that I am special because everyone keeps telling me so.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_13","Short Dark Triad (SD3)",NA,NA,"I know that I am special because everyone keeps telling me so.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_13","Short Dark Triad (SD3)",NA,NA,"I know that I am special because everyone keeps telling me so.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_13","Short Dark Triad (SD3)",NA,NA,"I know that I am special because everyone keeps telling me so.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_14","Short Dark Triad (SD3)",NA,NA,"I like to get acquainted with important people.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_14","Short Dark Triad (SD3)",NA,NA,"I like to get acquainted with important people.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_14","Short Dark Triad (SD3)",NA,NA,"I like to get acquainted with important people.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_14","Short Dark Triad (SD3)",NA,NA,"I like to get acquainted with important people.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_14","Short Dark Triad (SD3)",NA,NA,"I like to get acquainted with important people.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_15","Short Dark Triad (SD3)",NA,NA,"I feel embarrassed if someone compliments me.",NA,"Agree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_15","Short Dark Triad (SD3)",NA,NA,"I feel embarrassed if someone compliments me.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_15","Short Dark Triad (SD3)",NA,NA,"I feel embarrassed if someone compliments me.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_15","Short Dark Triad (SD3)",NA,NA,"I feel embarrassed if someone compliments me.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_15","Short Dark Triad (SD3)",NA,NA,"I feel embarrassed if someone compliments me.",NA,"Disagree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_16","Short Dark Triad (SD3)",NA,NA,"I have been compared to famous people.",NA,"Disagree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_16","Short Dark Triad (SD3)",NA,NA,"I have been compared to famous people.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_16","Short Dark Triad (SD3)",NA,NA,"I have been compared to famous people.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_16","Short Dark Triad (SD3)",NA,NA,"I have been compared to famous people.",NA,NA,4
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_16","Short Dark Triad (SD3)",NA,NA,"I have been compared to famous people.",NA,"Agree strongly",5
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_17","Short Dark Triad (SD3)",NA,NA,"I am an average person.",NA,"Agree strongly",1
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_17","Short Dark Triad (SD3)",NA,NA,"I am an average person.",NA,NA,2
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_17","Short Dark Triad (SD3)",NA,NA,"I am an average person.",NA,NA,3
"dinic_2025_shortdarktriad","dinic_2025_shortdarktriad_1","sd3_17","Short Dark Triad (SD3)",NA,NA,"I am an average person.",NA,NA,4
