table,section_id,item,instrument,language,instructions,section_prompt,item_text,correct_response,option_text,resp
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,no mental image,0
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,1
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,2
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,3
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,4
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,5
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,6
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,7
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,8
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,,9
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ1,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a friend you know well,,"clear and alive, like in real life",10
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,no mental image,0
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,1
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,2
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,3
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,4
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,5
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,6
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,7
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,8
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,,9
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ2,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a cat climbing a tree,,"clear and alive, like in real life",10
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,no mental image,0
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,1
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,2
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,3
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,4
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,5
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,6
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,7
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,8
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,,9
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsiQ3,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a sunset,,"clear and alive, like in real life",10
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,no mental image,0
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,1
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,2
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,3
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,4
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,5
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,6
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,7
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,8
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,,9
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ4,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,the front door of your house,,"clear and alive, like in real life",10
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,no mental image,0
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,1
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,2
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,3
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,4
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,5
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,6
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,7
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,8
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,,9
DMCT_Addis_2020_PSIQ,DMCT_Addis_2020_PSIQ_vision,PsyQ5,Plymouth Sensory Imagery Questionnaire (Psi-Q),German,,Imagine the appearance of …,a bonfire,,"clear and alive, like in real life",10
