"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"non è mai vero","Never true",1
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è vero molto raramente","Very seldom true",2
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è vero raramente","Seldom true",3
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è vero a volte","Sometimes true",4
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è spesso vero","Frequently true",5
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è vero quasi sempre","Almost always true",6
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ1","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"I miei pensieri mi causano angoscia e sofferenza emotiva","My thoughts cause me distress or emotional pain",NA,"è sempre vero","Always true",7
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"non è mai vero","Never true",1
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è vero molto raramente","Very seldom true",2
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è vero raramente","Seldom true",3
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è vero a volte","Sometimes true",4
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è spesso vero","Frequently true",5
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è vero quasi sempre","Almost always true",6
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ2","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Sono così preso dai miei pensieri che non riesco a fare ciò che più desidero fare","I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"è sempre vero","Always true",7
"donati_2021_cfq7","donati_2021_cfq7_1","CFQ3","Cognitive Fusion Questionnaire-7 (CFQ-7), Italian version","Italian",NA,NA,NA,NA,"Analizzo troppo le situazioni, al punto tale che non mi è più utile","I over-analyse situations to the point where it's unhelpful to me",NA,"non è mai vero","Never true",1
