"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_1","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have a clear plan for my future professional development.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_1","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have a clear plan for my future professional development.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_1","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have a clear plan for my future professional development.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_1","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have a clear plan for my future professional development.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_1","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have a clear plan for my future professional development.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_2","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"In my own professional development, I need to enhance myself through training, peer communication, and other means.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_2","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"In my own professional development, I need to enhance myself through training, peer communication, and other means.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_2","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"In my own professional development, I need to enhance myself through training, peer communication, and other means.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_2","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"In my own professional development, I need to enhance myself through training, peer communication, and other means.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_2","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"In my own professional development, I need to enhance myself through training, peer communication, and other means.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_3","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I believe that research topics are important and can change the way education and teaching are conducted.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_3","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I believe that research topics are important and can change the way education and teaching are conducted.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_3","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I believe that research topics are important and can change the way education and teaching are conducted.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_3","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I believe that research topics are important and can change the way education and teaching are conducted.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_3","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I believe that research topics are important and can change the way education and teaching are conducted.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_4","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I prioritize leading the way in information technology and encourage students to appropriately obtain practical resources online.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_4","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I prioritize leading the way in information technology and encourage students to appropriately obtain practical resources online.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_4","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I prioritize leading the way in information technology and encourage students to appropriately obtain practical resources online.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_4","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I prioritize leading the way in information technology and encourage students to appropriately obtain practical resources online.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_4","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I prioritize leading the way in information technology and encourage students to appropriately obtain practical resources online.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_5","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I try to lead and effectively interact with individuals from different backgrounds, ethnicities, and cultures simultaneously.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_5","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I try to lead and effectively interact with individuals from different backgrounds, ethnicities, and cultures simultaneously.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_5","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I try to lead and effectively interact with individuals from different backgrounds, ethnicities, and cultures simultaneously.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_5","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I try to lead and effectively interact with individuals from different backgrounds, ethnicities, and cultures simultaneously.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_5","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I try to lead and effectively interact with individuals from different backgrounds, ethnicities, and cultures simultaneously.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_6","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I value the cultivation of Chinese traditional culture in students and emphasize the development of their multicultural abilities.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_6","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I value the cultivation of Chinese traditional culture in students and emphasize the development of their multicultural abilities.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_6","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I value the cultivation of Chinese traditional culture in students and emphasize the development of their multicultural abilities.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_6","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I value the cultivation of Chinese traditional culture in students and emphasize the development of their multicultural abilities.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_6","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I value the cultivation of Chinese traditional culture in students and emphasize the development of their multicultural abilities.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_7","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I foster a culture of trust, inclusiveness, and reflection, encouraging different viewpoints to clash with each other.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_7","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I foster a culture of trust, inclusiveness, and reflection, encouraging different viewpoints to clash with each other.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_7","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I foster a culture of trust, inclusiveness, and reflection, encouraging different viewpoints to clash with each other.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_7","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I foster a culture of trust, inclusiveness, and reflection, encouraging different viewpoints to clash with each other.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_7","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I foster a culture of trust, inclusiveness, and reflection, encouraging different viewpoints to clash with each other.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_8","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have clear goals and strategies for home-school cooperation, achieving effective interaction between home and school.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_8","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have clear goals and strategies for home-school cooperation, achieving effective interaction between home and school.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_8","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have clear goals and strategies for home-school cooperation, achieving effective interaction between home and school.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_8","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have clear goals and strategies for home-school cooperation, achieving effective interaction between home and school.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_8","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I have clear goals and strategies for home-school cooperation, achieving effective interaction between home and school.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_9","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I understand the backgrounds of different students and strive to ensure fair development for all students.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_9","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I understand the backgrounds of different students and strive to ensure fair development for all students.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_9","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I understand the backgrounds of different students and strive to ensure fair development for all students.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_9","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I understand the backgrounds of different students and strive to ensure fair development for all students.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_9","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I understand the backgrounds of different students and strive to ensure fair development for all students.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_10","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I often discuss various educational issues with colleagues and communicate with parents.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_10","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I often discuss various educational issues with colleagues and communicate with parents.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_10","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I often discuss various educational issues with colleagues and communicate with parents.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_10","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I often discuss various educational issues with colleagues and communicate with parents.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_10","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I often discuss various educational issues with colleagues and communicate with parents.",NA,"complete compliance",5
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_11","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I frequently communicate with parents to jointly solve various issues related to student development.",NA,"complete non-compliance",1
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_11","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I frequently communicate with parents to jointly solve various issues related to student development.",NA,"basic non-compliance",2
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_11","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I frequently communicate with parents to jointly solve various issues related to student development.",NA,"basic compliance",3
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_11","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I frequently communicate with parents to jointly solve various issues related to student development.",NA,"relatively compliance",4
"dong_2025_teacher_leadership","dong_2025_teacher_leadership_1","item_11","Survey Questionnaire on the Current Situation of Leadership among Primary and Secondary School Teachers in Xinjiang Uygur Autonomous Region","Chinese",NA,NA,"I frequently communicate with parents to jointly solve various issues related to student development.",NA,"complete compliance",5
