"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"duboz_2021_pss10","duboz_2021_pss10_1","Stress1","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you been upset because of something that happened unexpectedly?",NA,"Never","NC",1,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress1","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you been upset because of something that happened unexpectedly?",NA,"Almost Never","NC",2,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress1","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you been upset because of something that happened unexpectedly?",NA,"Sometimes","NC",3,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress1","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you been upset because of something that happened unexpectedly?",NA,"Fairly Often","NC",4,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress1","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you been upset because of something that happened unexpectedly?",NA,"Very Often","NC",5,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress2","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt that you were unable to control the important things in your life?",NA,"Never","NC",1,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress2","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt that you were unable to control the important things in your life?",NA,"Almost Never","NC",2,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress2","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt that you were unable to control the important things in your life?",NA,"Sometimes","NC",3,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress2","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt that you were unable to control the important things in your life?",NA,"Fairly Often","NC",4,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress2","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt that you were unable to control the important things in your life?",NA,"Very Often","NC",5,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress3","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt nervous and “stressed”?",NA,"Never","NC",1,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress3","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt nervous and “stressed”?",NA,"Almost Never","NC",2,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress3","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt nervous and “stressed”?",NA,"Sometimes","NC",3,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress3","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt nervous and “stressed”?",NA,"Fairly Often","NC",4,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress3","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt nervous and “stressed”?",NA,"Very Often","NC",5,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress4","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt confident about your ability to handle your personal problems?",NA,"Never","NC",1,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress4","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt confident about your ability to handle your personal problems?",NA,"Almost Never","NC",2,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress4","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt confident about your ability to handle your personal problems?",NA,"Sometimes","NC",3,NA,NA,NA,NA
"duboz_2021_pss10","duboz_2021_pss10_1","Stress4","Perceived Stress Scale (PSS-10)","Wolof; French","The questions in this scale ask you about your feelings and thoughts during the last month.   In each case, please indicate your response by placing an “X” over the circle representing HOW OFTEN you felt or thought a certain way.",NA,"In the last month, how often have you felt confident about your ability to handle your personal problems?",NA,"Fairly Often","NC",4,NA,NA,NA,NA
