table,mapping_basis,text_source,source_ref,note,public_note,uploaded,translation_source
dpt_noncog__intolerance_of_uncertainty,data_labels,study_materials,"Harvard Dataverse doi:10.7910/DVN/Y75CP2, file 'Jeehp_15_19_raw data.xlsx' (row 1 codes / row 4 question text); anchors from Canham L et al. J Educ Eval Health Prof. 2018;15:19 (PMC6194478) and Buhr & Dugas (2002) IUS-27","Item wording transcribed verbatim from row 4 ('Question') of the sole Dataverse file 'Jeehp_15_19_raw data.xlsx' (doi:10.7910/DVN/Y75CP2, CC0 1.0), keyed to that file's own row-1 survey codes Q16_1..Q16_16; data/dpt_noncognitive_traits.py maps those codes to iu_* by an explicit dictionary, and that dictionary was checked cell-for-cell against the live data (see verify script). No text was normalised; the file's straight apostrophes and 'It's unfair...' phrasing are kept as written. resp anchors 1 and 5 from the study's paper (JEEHP 2018;15:19); anchors 2-4 from the canonical IUS-27 (Buhr & Dugas 2002), disclosed because this study states only its endpoints. instructions blank: not published in deposit or paper. English administration, so no language/_translated columns. No rights restriction found: CC0 deposit, and the IUS is a freely used academic scale with no quotable NC, fee or no-redistribution clause located.","The deposit labels two different items 'IU_Scale_21', so IRW's codes iu_21a and iu_21b are a disambiguation, not IUS-27 item numbers -- iu_21b ('Being uncertain means that I lack confidence.') is item 22 in the published IUS-27, and item codes here should not be read as instrument item numbers",2026-09-04,
duboz_2021_pss10,paper_order,translated_substitute,"PLOS ONE 10.1371/journal.pone.0252134 (CC BY 4.0), S1 xlsx 10.1371/journal.pone.0252134.s001 (item codes, data); wording from Cohen's own PSS-10: cmu.edu/dietrich/psychology/stress-immunity-disease-lab/scales/.doc/pss_10_item.doc (Cohen, Kamarck & Mermelstein 1983)","Item codes Stress1..Stress10 ARE the source column names in the PLOS S1 xlsx (data/duboz_2021_swls_pss.py melts PSS_COLS by name; no positional assignment), but those columns carry no label text, so the code->text tie is an inference that the trailing digit is the canonical PSS-10 item number. The paper supports it: it states its own items 1,2,3,6,9,10 are the negative (helplessness) items and 4,5,7,8 the positive (self-efficacy) items, the canonical PSS-10 assignment. Wording and instructions transcribed verbatim from the rights holder's own PSS-10 file (cmu.edu/dietrich/psychology/stress-immunity-disease-lab/scales/.doc/pss_10_item.doc), including its item 9 wording 'outside your control' (not the 'outside of your control' of some reprints) and its double spacing in the instructions. DEVIATION: that file numbers the anchors 0-4; the live table stores 1-5, so option_text is shifted by one (1=Never..5=Very Often) and the ascending direction was verified against the data (see verification sidecar). Items are stored RAW -- the four positively-worded items are not reverse-scored in the live table (they correlate -0.07..-0.16 with the helplessness items). RIGHTS: no non-commercial-only or no-redistribution clause is quotable anywhere in Cohen's materials; permission to use the PSS is 'completely free of charge' and the PSS-10 is posted for download by the rights holder. The one restriction stated is commercial: 'Use of the PSS in profit making ventures including corporate clinical trials requires special permission and a nominal charge' (PSS FAQ, updated 2014-02-17), so wording_rights=NC is set on every row. That fee is scoped to profit-making use only and there is no evidence of enforcement against research reuse, so the fee-licence rule (TAS-20) does not fire. Precedent: bakker_2020_pss10 and beck_2021_pss10 both shipped PSS-10 wording (uploaded 2026-08-18), the latter as the same English-fallback shape.","The PSS-10 was administered orally in Senegal in Wolof or French, but neither the study's data deposit nor the paper reproduces the wording, so the item text shown is the original English PSS-10; note also that the response anchors, numbered 0-4 (Never to Very Often) in the source instrument, are shifted to the 1-5 coding this table stores, and that the four positively-worded items (Stress4, 5, 7, 8) are stored unreversed.",2026-09-04,
duboz_2021_swls,unknown,unknown,"Duboz P, Macia E, Diallo AH, Cohen E, Bergouignan A, Seck SM (2021) PLOS ONE 16(5):e0252134, doi:10.1371/journal.pone.0252134 (CC BY 4.0), S1 File s001.xlsx ; eddiener.com/scales ""Permissions to use scales"" ; labs.psychology.illinois.edu/~ediener/SWLS.html","BLOCKED ON RIGHTS -- no __items.csv written. Instrument is the 5-item Satisfaction With Life Scale (Diener, Emmons, Larsen & Griffin 1985). The source study (Duboz et al. 2021, PLOS ONE, CC BY 4.0) publishes NO item wording: its only supplement is S1 File (s001.xlsx), whose SWLS headers are the bare codes ""Satisfaction with life scale Q1""..""Q5"", and the Methods only describe the format (""It consists of five items, and for each item, respondents select one of seven options (ranging from 1 'strongly disagree' to 7 'strongly agree')""). So the only available source for the wording is the rights holder's own distribution, and it carries a stated non-commercial restriction: ""These scales are copyrighted by Ed Diener and his co-authors. Although copyrighted, all of these scales may be used by researchers as long as proper credit is given. Permission is not needed to employ the scales and requests to use the scales will not be answered on an individual basis because permission is granted here. The use of these scales is permitted for non-commercial purposes only."" -- eddiener.com/scales, ""Permissions to use scales"" (retrieved 2026-09-04). Under itemtext_standard.md's 2026-09-04 NC ruling (irw#1891) that is a quotable non-commercial restriction on the wording, and the ECR-R source-licence carve-out has nothing to attach to because the CC BY paper reproduces no items. NOTE THE CONFLICT AND THE CLASS-WIDE SCOPE, both of which need Ben: (a) Diener's older lab page (labs.psychology.illinois.edu/~ediener/SWLS.html) states the opposite -- ""The scale is copyrighted but you are free to use it without permission or charge by all professionals (researchers and practitioners) as long as you give credit to the authors"" -- with no NC clause, and that page is what earlier IRW extractions relied on; (b) the eddiener.com clause covers the SWLS, the Flourishing Scale and SPANE, so it reaches 14 SWLS tables in extraction_batches/queue_state.csv, TWO OF WHICH HAVE ALREADY SHIPPED (altahla_2024_swls batch_005, campos_2023_swls batch_017) and would need withdrawing if the clause is ruled to fire. No sweep was run. Had it been shippable the mapping evidence is already in hand: route 3 (published totals) reproduces exactly -- see verify_duboz_2021_swls.R -- but only pins scoring direction and item membership, not which SWLS item is which Qn, so it would have shipped PARTIAL. Administration was oral, in Wolof or French (Methods: investigators ""measure and interview individuals in Wolof or French""), and no Wolof/French wording exists anywhere in the deposit, so it would have been a translated_substitute fallback with language=""Wolof or French"".",,,
dudasova_2021_cpc12,paper_order,study_materials,"Dudasova et al. 2021 PLOS ONE 16(3):e0247114 S1 Appendix (10.1371/journal.pone.0247114.s005, CC BY) for the Czech wording and anchors; Lorenz et al. 2016 PLOS ONE 11(4):e0152892 S1 Appendix (10.1371/journal.pone.0152892.s001, CC BY) for the original CPC-12 item order and the English wording of PsyCap7-9","Item text is split by language: the Czech administered wording is shipped for 9 of 12 items, English for the remaining 3. Study 1 administered the ORIGINAL CPC-12 in Czech, but the paper's S1 Appendix prints the REVISED CPC-12R (Czech+English), which retains only 9 of the original statements and re-orders them (CPC-12R 1-3 optimism / 4-6 hope / 7-9 self-efficacy / 10-12 new resilience vs CPC-12 1-3 hope / 4-6 optimism / 7-9 resilience / 10-12 self-efficacy). The 9 retained statements were crosswalked to CPC-12 positions by exact English-string identity between the two PLOS CC BY appendices (Dudasova 2021 s005 and Lorenz 2016 pone.0152892 s001), giving Czech for PsyCap1-6 and PsyCap10-12. The three original resilience items (PsyCap7-9, from the RS-13) were dropped in the revision and their Czech wording appears nowhere in this deposit or the paper's supplements, so those three rows carry the canonical English CPC-12 wording (Lorenz 2016 S1 Appendix, also quoted verbatim in Dudasova 2021's Study 3 discussion) with item_text_translated left empty - the documented fallback signal. Response anchors are the CPC-12R appendix's Czech anchors; Study 1's text states the same 1=strongly disagree..6=strongly agree scale. The S1-S4 .sav files carry no variable or value labels at all (checked all four), so data_labels was not available. Rights: the three RS-13-derived items trace to Wagnild & Young's Resilience Scale, which is sold at resiliencescale.com; no licence, permission or terms page was retrievable (both product/permission URLs 404) and no enforcement evidence was found, so no quotable NC/fee/no-redistribution clause exists to fire the rights rules - recorded here so the basis stays auditable.","Study 1 administered the original CPC-12 in Czech, but only the revised CPC-12R Czech wording was published; the three original resilience items (PsyCap7-9) are therefore shown in canonical English rather than the Czech respondents actually read.",2026-09-04,
dudasova_2021_cpc12_study3,paper_explicit,study_materials,"Lorenz T, Beer C, Putz J, Heinitz K (2016) PLOS ONE 11(4):e0152892, S1 Appendix 'CPC-12 Scale (German)' / '(English)' (https://doi.org/10.1371/journal.pone.0152892.s001); data = Dudasova et al. (2021) PLOS ONE 16(3):e0247114 S3 File (https://doi.org/10.1371/journal.pone.0247114.s003), byte-identical to Lorenz et al. 2016 S2 Dataset columns cpc1-cpc12","German item wording and the authors' own English rendering both taken verbatim from the Lorenz et al. (2016) S1 Appendix, which numbers the items 1-12 against the deposited columns cpc1-cpc12. The Dudasova S3 .sav carries NO variable labels and NO value labels (checked with pyreadstat: all 12 column labels None, variable_value_labels empty), so data_labels was unavailable; the appendix numbering is the tie. The IRW processing script data/dudasova_2021_cpc12_battery.py melts the .sav columns under their own names, so item is the source column name verbatim - no positional assignment. Response anchors are only published in English (Lorenz et al. 2016: 6-point format 1='strongly disagree' to 6='strongly agree'); no German anchor wording appears in either paper or any deposited file, so option_text holds the English endpoints as a per-field fallback and points 2-5 are left blank rather than padded. Both source articles are CC BY; Lorenz et al. explicitly released the CPC-12 as a free-to-use measure with an open licence, and no non-commercial, fee or no-redistribution clause was found for it.","The table name's '_study3' refers to the article's S3 supporting-information file, not to the paper's Study 3: these are the 202 German respondents analysed in Study 2, who completed the original German CPC-12, not the revised Czech CPC-12R. The 6-point response anchors are shipped in English because only the English endpoint labels ('strongly disagree' / 'strongly agree') were ever published; the administered German anchor wording is not in the paper or in any deposited file.",2026-09-04,
dudasova_2021_engagement,unknown,unknown,"10.1371/journal.pone.0247114 (PLOS ONE, CC BY 4.0), S1 Dataset .s001 SAV (N=282) and S1 Appendix .s005 DOCX ; data/dudasova_2021_cpc12_battery.py ; UWES conditions of use, wilmarschaufeli.nl/downloads/ and Schaufeli & Bakker, UWES Preliminary Manual v1.1 (2004)","BLOCKED before transcription; no __items.csv written, so mapping_basis and text_source are recorded as unknown rather than describing text that does not exist. Two independent grounds, either sufficient: (a) the source publishes no wording for this scale at all -- the PLOS article never mentions engagement/UWES/Schaufeli (0 occurrences in the full text), its only appendix covers the CPC-12R, and all four .sav supplements carry no variable label on Eng1-Eng9 and no value-label set whatsoever, so neither stems nor the 1-7 anchors exist in the deposit; the instrument itself is unidentified (the ""UWES-9-style"" Description is an IRW conjecture, and the same team's paywalled 2024 follow-up on this cohort describes the 17-item UWES). (b) If it is a UWES, the only copy of the wording is the rights holders' own, which states ""The use is free for academic purposes only, such as PhD theses and scientific papers. For all other purposes, a contract should be drafted."" (wilmarschaufeli.nl/downloads/) and, in the Preliminary Manual, ""The Utrecht Work Engagement Scale is free for use for non-commercial scientific research. Commercial and/or non-scientific use is prohibited, unless previous written permission is granted by the authors."" -- a quotable non-commercial restriction, so itemtext_standard.md's 2026-09-04 ruling (irw#1891) fires as it did for dominguez_2018_uwes in batch_027. The study's CC BY 4.0 deposit prints no items, so the ECR-R source-licence carve-out has nothing to attach to. Determinate block: an unchanged retry cannot change it.",,,
dudasova_2021_gratitude,reconstructed,translated_substitute,"McCullough, Emmons & Tsang (2002) GQ-6, canonical wording from pages.ucsd.edu/~memccullough/gratitude/ and ggsc.berkeley.edu/images/uploads/The_Gratitude_Questionnaire.pdf; item codes from PLOS ONE 10.1371/journal.pone.0247114 S1 Dataset (.s001, SPSS) via data/dudasova_2021_cpc12_battery.py","IDENTIFICATION IS RECONSTRUCTED, NOT SOURCED. The source paper (Dudasova et al. 2021, PLOS ONE 10.1371/journal.pone.0247114) never mentions gratitude at all -- the string 'gratitud' appears 0 times in the full JATS text -- and the gratitude block is one of several measures collected in the Study 1 teacher survey (N=282) but never reported. The S1 Dataset .sav (the URL in the IRW dictionary) carries NO item text: 103 columns, only 2 with any variable label ('REGR factor score 1/2 for analysis 1'), and zero value labels. S2/S3/S4 .sav files were also checked: 0, 0 and 1 label respectively, none on a gratitude column, and S4 has no Grat block. Dudasova's dissertation (theses.cz/id/133rjn) covers PsyCap, social support, engagement and life satisfaction only. So there is no study-side wording anywhere in the deposit or the paper. The instrument was identified structurally as the Gratitude Questionnaire-Six Item Form (GQ-6; McCullough, Emmons & Tsang 2002): six items, 1-7 agreement scale (live resp set is exactly 1..7), reverse-worded items at exactly positions 3 and 6 (see verification row). Wording transcribed from McCullough's own distributed copy (pages.ucsd.edu/~memccullough/gratitude/2-Page Blurb on the Gratitude Questionnaire.pdf), cross-checked character-by-character against the Greater Good Science Center copy (ggsc.berkeley.edu/images/uploads/The_Gratitude_Questionnaire.pdf); the two agree exactly apart from the UCSD PDF's typesetting artefact 'thank ful' in item 1 and its reverse-item asterisks. ONE DELIBERATE DEVIATION: the typographic apostrophe in item 3 (don’t) was written as an ASCII apostrophe. CODE DERIVATION: data/dudasova_2021_cpc12_battery.py melts the S1 columns by NAME (value_vars=['Grat1','Grat2','Grat3i','Grat4','Grat5','Grat6']), so the IRW item code IS the source column name -- no positional assignment and no rename. What is inferred is only which GQ-6 item each source column number refers to. REVERSE-CODING (affects option_text): across this .sav a trailing 'i' marks an already-recoded reverse item -- JS3i, Hope3i/5i/7i/11i and Perf14i-18i all show POSITIVE item-rest correlations despite being negatively-worded content. Grat3i follows that pattern (+0.41..+0.66 with the other five). Grat6 carries NO marker and correlates -0.35..-0.54 with every other item, i.e. it is the GQ-6's other reverse item stored RAW. option_text therefore runs 1='strongly disagree'..7='strongly agree' for five items and is REVERSED for Grat3i (1='strongly agree'..7='strongly disagree'), which is what the stored integers actually mean. Incidentally the .sav's own 'Grat' total column is the plain sum of the six columns as stored, i.e. it adds Grat6 un-reversed -- a scoring inconsistency in the authors' file, harmless here because the measure is never used in the paper. LANGUAGE: administered in Czech ('The survey was conducted in Czech'). No Czech wording exists in the deposit or the paper, so the 2026-09-01 fallback applies: canonical English in the base fields, language=Czech, _translated columns present but empty. instructions left blank deliberately: the GQ-6's printed instruction ('write a number beside each statement') describes a paper form, and this was an online survey, so shipping it would assert a prompt these respondents did not see. RIGHTS: no restriction found -- neither the UCSD nor the GGSC copy of the GQ-6 states a non-commercial, fee or no-redistribution term, and the source article is CC BY.","The source study never names or reports this gratitude measure and its data file carries no item labels, so the instrument was identified structurally as the GQ-6 and the wording shipped here is the canonical English GQ-6, not a string any respondent read -- the survey was administered in Czech and no Czech version is deposited. Note also that the stored values for Grat3i are already reverse-scored while Grat6 is stored raw, so Grat3i's response anchors run in the opposite direction to the other five items.",2026-09-04,
dudasova_2021_swls,reconstructed,translated_substitute,"Dudasova et al. (2021) PLOS ONE 16(3):e0247114, S1 Dataset (10.1371/journal.pone.0247114.s001) and S1 Appendix (.s005); wording from Diener/Emmons/Larsen/Griffin (1985) SWLS, official SWLS_English.doc at labs.psychology.illinois.edu/~ediener/","Item codes LifeSat1..5 are the source .sav column names carried through unchanged by data/dudasova_2021_cpc12_battery.py (melt on a fixed column list, no positional or generated codes), so there is no rename step to get wrong. But nothing in the deposit ties those codes to text: no variable/value labels, no item table in the paper. Mapping LifeSatN -> SWLS item N is reconstructed from the numeric suffix plus canonical SWLS order and checked against the data (see verification sidecar). Text and instructions transcribed verbatim from Diener's official SWLS_English.doc (labs.psychology.illinois.edu/~ediener/Documents/SWLS_English.doc); the 7 anchors are that document's own labels. Rights: the same page states 'The scale is copyrighted but you are free to use it without permission or charge by all professionals (researchers and practitioners) as long as you give credit to the authors' -- no non-commercial clause, no redistribution bar, so no wording_rights flag.","This study administered the Satisfaction With Life Scale in Czech, but neither the paper nor its supplements publish the Czech wording (the data file carries no variable or value labels), so the item text shown here is the canonical English SWLS and is not what respondents read; the LifeSat1-5 to SWLS item 1-5 correspondence is reconstructed from the code numbering and is corroborated by the data for items 3, 4 and 5 but not for the LifeSat1/LifeSat2 pair.",2026-09-04,
dulger2024_wordcompletion,data_labels,study_materials,"OSF osf.io/384h5 (CC BY 4.0): word_completion_coded.sav (item codes = WordFragment column values) and Coding_examples_word_completion.docx (states 'correct response = <letters>' for 24 of 60 fragments); Dulger, Van Bockstaele, Majdandzic & de Vente (2024), Cognitive Therapy and Research 48:957-973, doi 10.1007/s10608-024-10490-0 (CC BY 4.0) for the task description and the M=0.96/SD=0.07 accuracy benchmark.","Administered in English (Prolific, UK/US/South African parents), so no language or _translated columns. item_text is the fragment verbatim from the source file's WordFragment values, which are also the IRW item codes -- no inference on the item axis. correct_response holds the target word: for 24 fragments it is the study's own stated key (Coding_examples_word_completion.docx), and for the remaining 36 it was derived by IRW as the modal correct completion in the study's coded data (key_source would read derived_from_responses for those 36; the header for this sidecar has no key_source column). The derivation agrees with all 24 stated keys exactly, and every one of the 60 claimed words uniquely reproduces its own item's live accuracy (see verify_dulger2024_wordcompletion.R). option_text labels resp 0/1 from the source column name Completion_correct and is confirmed by direction (live per-participant accuracy M=0.968 vs the paper's 0.96). instructions and section_prompt are NA -- the verbatim on-screen instructions are not in the deposit or the supplement and were not paraphrased from the paper's method text.","For 36 of the 60 word fragments the target word in correct_response was derived by IRW from the modal correct completion in the study's own coded data rather than stated by the authors; it agrees with all 24 fragments whose key the study does state, and each derived word reproduces its item's observed accuracy (e.g. ac_e_ted 0.943 derived vs 0.950 live).",2026-09-04,
dussel_2022_pcl17,paper_order,translated_substitute,"PLOS ONE 10.1371/journal.pone.0267032 (CC BY 4.0) S1 Appendix (s001, submitted questionnaire) and S1 Dataset (s003, .xlsx); data/dussel_2022_hospital_covid.py; PCL rights per ptsd.va.gov/professional/assessment/adult-sr/ptsd-checklist.asp","Item wording, instructions and anchors transcribed verbatim from S1 Appendix of the CC BY 4.0 PLOS ONE article (10.1371/journal.pone.0267032), which reproduces the whole submitted questionnaire; the only edit is dropping the leading 'Instructions:' label and the item numbers. Code derivation: data/dussel_2022_hospital_covid.py melts the S1 Dataset's 17 PCL_* columns by name (only a trailing-space strip on 'PCL_emotionally_numb '), so the IRW item code IS the source column name -- no positional or renaming step. 15 of those 17 headers are self-describing (memories, dreams, upset, physical_reaction, avoid_talking, avoid_situation, difficulty_memory, loss_interest, distant, emotionally_numb, future, sleep, irritability, concentration, repetition), which alone ties them to the appendix items; PCL_defensive and PCL_watchful do not separate themselves and are assigned to appendix items 16 and 17 by column position. mapping_basis=paper_order for that reason rather than data_labels: the headers are content mnemonics, not item text. Language: French administration (ref [13] is Yao et al. 2003, the French PCLS validation); the deposit (S1 Dataset .xlsx, no variable labels) and all four Word supplements contain no French questionnaire text, so the authors' English appendix is the fallback. Response coding: the appendix prints 0-4 but the live data are 1-5; shipped 1='Not at all' .. 5='Extremely', confirmed by the total-score checks in verify_dussel_2022_pcl17.R. RIGHTS: no restriction fires. IRW's copy came from a CC BY 4.0 PLOS supplement, and the rights holder's own page (ptsd.va.gov, PTSD Checklist) states the measure 'was developed by staff at VA's National Center for PTSD and is in the public domain and not copyrighted' -- no non-commercial clause, no redistribution bar, no fee. wording_rights omitted. Step 3b: 17 items on a 1-5 scale is the DSM-IV PCL, matching the paper ('a 17-item self-reported measure reflecting DSM-IV symptoms of PTSD'), not the 20-item 0-4 PCL-5.","This PCL was administered in French; the item text, instructions and anchors shipped here are the authors' own English rendering of the questionnaire (S1 Appendix), not the French wording respondents read, which the deposit does not publish. Note also that the S1 Appendix numbers the response scale 0-4 while the response data are stored 1-5 (the standard PCL coding, confirmed by the 17-85 total range and by 13.7% of respondents exceeding the paper's PCL>44 cutoff against the 14% reported); the anchors are shipped against 1-5. Finally, the two hyperarousal item codes PCL_defensive and PCL_watchful are both plausible names for item 16 ('Being ""super-alert"" or watchful or on guard'); they are assigned to items 16 and 17 by their position in the source file, and no check in the data distinguishes them.",2026-09-04,
