table,mapping_basis,text_source,source_ref,note,public_note,uploaded
duboz_2021_swls,paper_order,translated_substitute,"Duboz P, Macia E, Diallo AH, Cohen E, Bergouignan A, Seck SM (2021) PLOS ONE 16(5):e0252134, doi:10.1371/journal.pone.0252134 (CC BY 4.0), S1 File s001.xlsx (item codes, data, published totals); wording from SWLS_English.doc at labs.psychology.illinois.edu/~ediener/Documents/SWLS_English.doc, linked from labs.psychology.illinois.edu/~ediener/SWLS.html (Diener, Emmons, Larsen & Griffin 1985)","REOPENED from batch_028's rights block under Ben's 2026-09-04 SWLS ruling (the terms of the page the wording was actually copied from govern). The wording here comes from SWLS_English.doc hosted on labs.psychology.illinois.edu/~ediener/SWLS.html, whose only stated term is permissive -- ""The scale is copyrighted but you are free to use it without permission or charge by all professionals (researchers and practitioners) as long as you give credit to the authors of the scale: Ed Diener, Robert A. Emmons, Randy J. Larsen and Sharon Griffin"" (page fetched directly 2026-09-04; no non-commercial clause anywhere on it). eddiener.com/scales, which does carry ""The use of these scales is permitted for non-commercial purposes only."", was NOT used as the source and its clause therefore does not govern; wording_rights is omitted accordingly. MAPPING: the item codes ARE the source column names -- data/duboz_2021_swls_pss.py melts the PLOS S1 xlsx columns ""Satisfaction with life scale Q1""..""Q5"" by name, no positional assignment -- but those columns carry no label text and the paper reproduces no items, so tying Qn to canonical SWLS item n is an inference from the trailing digit matching the instrument's published item order. Route 3 (published totals) reproduces exactly and pins scale identity, raw (unreversed) storage and the 1=strongly disagree..7=strongly agree direction, but a sum cannot distinguish a permutation of the five items, so the item-order assignment is PARTIAL; see verify_duboz_2021_swls.R. TEXT: transcribed verbatim from SWLS_English.doc, including its instructions and its seven anchor labels; trailing whitespace on the item lines was stripped and nothing else altered. The doc's scoring bands (31-35 Extremely satisfied, etc.) are not item text and were not shipped. LANGUAGE: administration was oral in Wolof or French (Methods: investigators ""measure and interview individuals in Wolof or French""); no Wolof or French wording exists in the PLOS deposit (S1 xlsx is data only, bare code headers) or anywhere in the paper, so the English original ships in the base fields with the _translated columns empty -- the documented translated_substitute fallback. Diener's site hosts SWLS_French.doc, but the study does not state which French translation it used and Wolof is not available at all, so shipping it would assert an administered wording that cannot be verified (same call as dudasova_2021_swls, batch_028).","The SWLS was administered orally in Wolof or French in Senegal, but neither the study's PLOS deposit nor the paper reproduces any wording, so the item text shown is the original English SWLS from the instrument's own distribution page; note also that the shipped instructions describe a self-completed paper form (""placing the appropriate number on the line preceding that item""), while this study administered the scale in face-to-face interviews, and that which of the five canonical SWLS items corresponds to each of Q1..Q5 rests on the source column numbering rather than on any published item-level statistic.",2026-09-05
enkavi_2019_stroop,data_labels,study_materials,"Task code: github.com/expfactory/expfactory-experiments/blob/master/stroop/experiment.js (MIT). Raw trial data: github.com/IanEisenberg/Self_Regulation_Ontology Data/{Complete,Retest}_02-16-2019/Individual_Measures/stroop.csv.gz. Paper: Enkavi et al. (2019) PNAS 116(12):5472-5477, doi:10.1073/pnas.1818430116. Processing script: data/enkavi_2019_conflict_tasks.py","Cognitive task, not a questionnaire, but unlike its Simon/go-nogo/stop-signal/DPX siblings the Stroop stimulus IS a word, so real administered text exists. mapping_basis=data_labels: the IRW item code is a verbatim concatenation of two of the study's own trial-data columns -- data/enkavi_2019_conflict_tasks.py's _prep_stroop returns ['stim_word','stim_color'] and joins them with '_' -- so the code carries no positional or generated component. Checked directly in the study's released files (Data/{Complete,Retest}_02-16-2019/Individual_Measures/stroop.csv.gz, 64,608 test-stage rows): each of the 9 item keys has exactly ONE distinct `stimulus` HTML value (e.g. blue_red -> '<div class = stroop-stim style = ""color:red"">BLUE</div>') and exactly one `correct_response` keycode, so the source data ties code to stimulus per row with no inference. text_source=study_materials: `instructions` is the single instructions_block page of the task the battery administered (github.com/expfactory/expfactory-experiments/stroop/experiment.js, MIT), transcribed verbatim with the HTML stripped; the one deviation is that the page's meaning depends on ink colour that plain text cannot carry, so each coloured span is annotated in square brackets ('RED [in blue ink]', 'WORD [in red ink]: ""R key""') -- nothing was added or paraphrased beyond those bracketed colour labels. `item_text` renders each stimulus as '<WORD> printed in <colour> ink', the display decoded from the source's own stimulus HTML above. key_source=source_published: the raw file's `correct_response` column holds jsPsych keycodes 66/71/82 = B/G/R, unanimous within every item and always the key for the INK colour, transcribed here in the instructions' own phrasing ('R key'/'B key'/'G key'). resp is trial ACCURACY (the source `correct` column, 0/1), not the key pressed, so option_text is Incorrect/Correct. Single trivial section_id, blank section_prompt -- there is no shared passage. English administration, so no language/_translated columns. RIGHTS: task code is MIT, the response data is CC BY by the authors' written confirmation (see the processing script header), and the Stroop paradigm has no rights holder stating an NC, fee or no-redistribution clause -- irw#1891 does not fire, no wording_rights column.","item_text for this cognitive task describes the trial's visual display (the colour word and the ink colour it was printed in) rather than a written question, and resp is trial accuracy (1 = correct), not the key the participant pressed, so option_text reads Incorrect/Correct",2026-09-05
environment_ltm,paper_explicit,study_materials,"ltm R package v1.2-0 (GPL >= 2), Environment.Rd via tools::Rd_db(""ltm"") -- https://cran.r-project.org/web/packages/ltm/index.html; upstream Brook, Taylor & Prior (1991) British Social Attitudes, 1990 Survey (SCPR)","Source is the ltm package IRW built the table from: its Environment.Rd Format section keys each item description to the exact column name the IRW item codes use (LeadPetrol, RiverSea, RadioWaste, AirPollution, Chemicals, Nuclear), so the code-to-text tie is a label match, not an order inference. item_text is the Rd descriptor verbatim, including its trailing full stops; the Rd publishes no question stem and no instruction text, so instructions is left blank rather than invented. Anchors come from the Rd Format sentence (very concerned / slightly concerned / not very concerned) and are confirmed by the live table's own resp_raw column, which stores those three strings against resp 1/2/3. Rights: the wording was copied from the GPL (>= 2) ltm package documentation; no non-commercial, fee or no-redistribution clause was found to quote, so no wording_rights flag is set.","item_text for this table is the short item descriptor published in the ltm R package's Environment documentation (e.g. 'Lead from petrol.'), not the verbatim question stem read to respondents in the 1990 British Social Attitudes Survey, which the package does not reproduce; no instruction text is available for the same reason",2026-09-05
esiason_2024_aaqii,paper_order,canonical_instrument,"Item wording and canonical AAQ1-AAQ7 numbering copied from Langer et al. (2024), BMC Psychology, doi:10.1186/s40359-024-01608-w (CC BY 4.0, PMC10908082), Table 1, which prints all seven English AAQ-II items against the codes AAQ1..AAQ7; response anchors from Dubey, Podder & Pandey (2020), Front Psychol, PMC7689361 (CC BY) and cross-checked against Langer et al. (1 = never true, 3 = seldom true, 7 = always true). Instrument origin: Bond et al. (2011), Behavior Therapy 42:676-688. Study: Esiason et al. (2024), PLOS ONE 19(3):e0300777, S1/S2 Data.","CORRECTED 2026-09-05 after irw#1971 was fixed and item_response_warehouse_3 re-released. This table previously shipped option_text for resp 1-5 only, and its public note said IRW's own processing script had filtered the 1-7 AAQ-II to 1-5 and dropped 37 responses. That is no longer true: data/esiason_2024_nmosd.py now passes valid_range=(1,7), the live table is 389 rows on resp 1-7, and the two missing anchors (6 = 'almost always true', 7 = 'always true') are shipped, completing the instrument's published anchor set. The 1-5 labels are reproduced verbatim from the previously published item text, so only the top two rows per item are new. Also corrected: the old note called the dropped values caregiver responses; they were PATIENTS' -- that error came from the transposed cov_group which irw#1971 fixed in the same commit. audit_batch re-run against the released data: PASS. || The study's own materials tie no text to the codes: the PLOS paper names the AAQ-II and reports only alpha, and neither S1 nor S2 XLSX carries a variable label for any column (row 1 holds only the REDCap export title in cell A1), so data_labels was checked and is unavailable. data/esiason_2024_nmosd.py melts the raw columns aaq1..aaq7 through unchanged as `item`, so the only inference is that the REDCap suffix follows canonical AAQ-II numbering; the aaq1..aaq7 block sits immediately before the form-status column `aaqii_complete`, confirming it is the AAQ-II form. Verified PARTIAL, see verification_esiason_2024_aaqii.csv. `instructions` deliberately left blank: the study does not publish its instructions and the canonical AAQ-II instruction tells the respondent to circle a number on a paper form, which this REDCap online administration was not. DATA DEFECT (response table, not item text): the AAQ-II was administered on its full 1-7 scale -- caregivers used all seven levels -- but data/esiason_2024_nmosd.py applies valid_range=(1,5) to this scale and silently drops every response of 6 or 7 (37 of 389 raw responses; 389 - 37 = the 352 rows now live). wording_rights=NC recorded because ACBS/Bond state 'Permission is given to use the AAQ-II for research and with clients, and does not require additional author permission. If, however, the AAQ-II was to be used in any type of money making enterprise (e.g., consultancy to organizations), seeking permission is requested by the authors.' That is a request tied to commercial use, not a bar on redistribution and not a fee, and the wording IRW copied came from a CC BY article, so it does not fire the no-ship rule -- it is flagged for filterability instead.","The AAQ-II's authors ask that commercial users seek their permission, so every row carries wording_rights=NC.",2026-09-05
esiason_2024_ace,reconstructed,canonical_instrument,"Canonical wording: 'Finding Your ACE Score' 10-question ACE handout, https://www.theannainstitute.org/Finding%20Your%20ACE%20Score.pdf . Item codes and response coding: Esiason et al. 2024 PLOS ONE 19(3):e0300777 REDCap exports S1 https://doi.org/10.1371/journal.pone.0300777.s001 and S2 .s002 . Verification counts: same paper, Results, caregiver sample n=21.","The two REDCap .xlsx exports carry NO variable or value labels -- row 1 is only the export title, row 2 the bare variable names -- so data_labels was not available; both files were opened and checked. The paper names the instrument but reproduces no item wording. The ten IRW item codes (swear, push, touch, loved, eat, divorced, mother, drugs, depressed, prison) are the source column names, are self-describing, and correspond one-to-one and in order to the ten canonical ACE questions; wording transcribed verbatim from the handout above, with multi-part items flattened onto one line, whitespace collapsed, and typographic apostrophes and ellipses kept. resp 0/1 = No/Yes per the handout's 'If yes enter 1'; the processing script keeps only 0/1. Rights checked: no non-commercial, fee or no-redistribution clause is quotable for the ACE questionnaire, and the source paper is CC BY, so the 2026-09-04 wording-rights rules do not fire and wording_rights is omitted. Data finding outside item text: cov_group is transposed relative to the paper -- the 21-record S1 file, labelled cov_group=patient, reproduces the paper's CAREGIVER per-category counts exactly on 9/10 items with denominator 21, and its BAI total mean (8.4) is the lower of the two groups, as the paper reports for caregivers.","Item wording is the standard 10-question Adverse Childhood Experiences handout; the study itself published no wording and cites the clinical ACE-Q (Murphy et al., 2016), whose exact phrasing sits in a paywalled book chapter and could not be compared.",2026-09-05
esiason_2024_cfq,paper_order,canonical_instrument,"Gillanders DT et al. (2014) The development and initial validation of the Cognitive Fusion Questionnaire. Behavior Therapy 45:83-101 (open copy: https://www.pure.ed.ac.uk/ws/portalfiles/portal/15143836/Gillanders_et_al_2014.pdf) -- wording, Table 1 item pool + CFQ appendix. CFQ13 item ORDER/numbering and the instructions from the developer-authorised Dutch CFQ13 (Batink & De Mey 2011, https://www.actinactie.nl/attachments/File/CFQ13.pdf), which reproduces the original CFQ13 numbering. Reverse-item key from ACBS 'Cognitive Fusion Questionnaire Scoring Instructions' (https://contextualscience.org/sites/default/files/Cognitive%20Fusion%20Questionnaire%20Scoring%20Instructions_0.pdf).","The study's own deposit (PLOS S1/S2 Data, .s001/.s002 .xlsx) carries NO variable or value labels -- row 1 is a REDCap export title, row 2 is bare column names (cfq1..cfq13) -- so data_labels was unavailable and this was checked before falling back. data/esiason_2024_nmosd.py takes the IRW item code straight from the source column name (no positional assignment, no rename), so the only inference is instrument-numbering: cfqN = CFQ13 item N. The paper (10.1371/journal.pone.0300777) names the instrument as 'the Cognitive Fusion Questionnaire (CFQ-13) [39]' with 13 items and 'Responses range from 1 (not true at all) to 7 (always true)' but reproduces no item wording and no per-item statistics. Anchors shipped are the canonical CFQ13 anchors (never true / very seldom true / seldom true / sometimes true / frequently true / almost always true / always true), which differ verbally from the paper's loose paraphrase of the low anchor. Wording is British-spelling canonical ('over-analyse'); transcribed verbatim, no normalisation. Rights: the rights holders' own distribution page states 'The CFQ is free to use for clinical and research purposes, permission is not needed.' (contextualscience.org/cognitive_fusion_questionnaire_cfq) -- no non-commercial prohibition, no redistribution bar, no fee, so the itemtext_standard.md rights rules do not fire; wording_rights column omitted. Route 3 (published totals) was attempted and FAILED to reproduce: no reversal set over the deposit files reproduces the paper's CFQ-13 means (patients 37.5/SD 13.2, caregivers 32.1/SD 12.2); under the published key the two deposit files give 33.7/SD 11.3 (n=19) and 43.2/SD 13.9 (n=36). Separately, cov_group in the live table looks SWAPPED: the paper says 'Descriptive statistics for all psychological variables among caregivers ... See S1 Data', but the processing script labels S1 'patient' and S2 'caregiver'. Both are response-data issues, not item-text issues.","Item wording is the canonical CFQ13 (Gillanders, Bolderston & Bond); the study itself published no item text, and the response anchors shipped are the instrument's own ('never true' ... 'always true') rather than the paper's paraphrase '1 (not true at all) to 7 (always true)'.",2026-09-05
esiason_2024_vlq_consistency,unknown,unknown,"Esiason DC et al. (2024) PLOS ONE 19(3):e0300777, doi:10.1371/journal.pone.0300777 (CC BY 4.0), S1 Data .s001 XLSX and S2 Data .s002 XLSX ; data/esiason_2024_nmosd.py ; VLQ form (Wilson & Groom 2002, rev. 4 Oct 2006) copyright footer, scanned copy at archive.org/details/valued-living-questionnaire ; contextualscience.org/valued_living_questionnaire_vlq","BLOCKED ON RIGHTS before transcription; no __items.csv written, so mapping_basis and text_source are recorded as unknown rather than describing text that does not exist. Instrument is the Valued Living Questionnaire (Wilson & Groom 2002), Part 2 -- the ten life domains rated 1-10 for how CONSISTENT the respondent's actions have been with that value during the past week (the sibling table esiason_2024_vlq_importance is Part 1, the same ten domains rated for importance). Live item codes are self-describing domain mnemonics in the instrument's own printed order (fam2 marr2 par2 fri2 wor2 edu2 rec2 spi2 cit2 phsy2) and ARE the source spreadsheet's column names: data/esiason_2024_nmosd.py melts VLQ_CONSISTENCY by name, no positional assignment. WHY BLOCKED: (a) the source study publishes no wording. The PLOS ONE article (10.1371/journal.pone.0300777, CC BY 4.0) names the instrument and reports only alphas (""acceptable internal consistency for rated importance (alpha = .73) and good internal consistency for past-week practice of value (alpha = .81)""), citing ""Wilson KG, Groom J. The Valued Living Questionnaire. 2002. Available from Kelly Wilson""; its three supplements are S1/S2 Data (the REDCap XLSX exports, whose only header row is the bare codes -- checked, row 1 is the export title and row 2 the codes, with no label row and no value labels) and S3 Data (focus-group transcripts, DOCX). No table, figure or appendix reproduces any VLQ wording. (b) The only source for the wording is therefore the VLQ form itself, and its own footer states: ""Copyright © 2002, by Kelly Wilson. You may reproduce and use this form at will for the purpose of treatment and research. You may not distribute it without the express written consent of the author."" -- footer printed on BOTH pages of the VLQ form (Wilson & Groom 2002, revised 4 October 2006; contact kwilson@olemiss.edu). That is a quotable rights-holder bar on redistribution, and shipping item text IS distributing the form's wording to third parties, so it fires itemtext_standard.md's 2026-09-04 no-redistribution ruling (the DSES/Fetzer ""Permission of author required to distribute or copy"" case), which explicitly overrides the source deposit's open licence and generalises beyond the WHOQOL. The same footer also carries a use-scope restriction (""for the purpose of treatment and research""), but the redistribution bar is the decisive clause. Corroborating: the ACBS page for the VLQ (contextualscience.org/valued_living_questionnaire_vlq) puts its VLQ attachments behind ACBS membership. Clause verified from the scanned form itself (archive.org/details/valued-living-questionnaire, both page footers via the OCR text) and restated in that item's own description metadata; a second hosted copy (fammed.wisc.edu .doc) now 404s. CLASS SCOPE, needs Ben and reaches a sibling in this same batch: the identical clause governs esiason_2024_vlq_importance (Part 1 of the same form) and any other VLQ table, since the wording of both halves comes from the one copyrighted form. Had it been shippable, the mapping evidence is already in hand and re-runnable (verify_esiason_2024_vlq_consistency.R): self-describing-code exemption plus route 8 -- marr2 (n=53) and par2 (n=49) are the two lowest-n items of ten (others 54-56), exactly the two VLQ domains that do not apply to every adult, and all 10 consistency items correlate more with their own importance twin than with the mean of the other nine.",,
esiason_2024_vlq_importance,unknown,unknown,"Esiason et al. (2024) PLOS ONE 19(4):e0300777, doi:10.1371/journal.pone.0300777 (CC BY 4.0), S1 Data s001.xlsx + S2 Data s002.xlsx; instrument: Wilson, K. G. & Groom, J. (2002), The Valued Living Questionnaire (form version 5-20-02, revised 4 October 2006), archive.org/details/valued-living-questionnaire; Wilson, Sandoz, Kitchens & Roberts (2010) The Psychological Record 60:249-272, Appendix, contextualscience.org/files/VLQ manuscript Wilson Sandoz et al.pdf","BLOCKED, no item text shipped, so mapping_basis and text_source are recorded as unknown rather than inferred from the fact that the item codes are the source xlsx column names verbatim. Block reason: the VLQ form's own copyright footer states ""You may reproduce and use this form at will for the purpose of treatment and research. You may not distribute it without the express written consent of the author"" (Copyright (c) 2002, by Kelly Wilson; contact kwilson@olemiss.edu), an explicit redistribution bar by the rights holder, which governs under the 2026-09-04 DSES ruling even though the study deposit itself is CC BY 4.0. Sources checked and found to publish no wording of their own: the PLOS article body (one-sentence description, no items), S1/S2 REDCap xlsx exports (194 columns, zero variable labels, row 1 a study title and row 2 bare codes), and S3 Data (qualitative themes). ACBS's VLQ page states no terms and gates its attachments to members. The 2010 Psychological Record appendix reprints the same instrument with slightly different domain labels (Employment/Recreation/Physical well-being vs Work/Recreation-fun/Physical self-care) and is the same rights holder's work, so it is not an independent route around the clause. Determinate block, not retryable.",,
estevezlopez_2016_panas,paper_explicit,translated_substitute,"Estevez-Lopez et al. (2016) PeerJ 4:e1822, doi:10.7717/peerj.1822 (CC BY 4.0) -- Methods item list, response anchors and Figure 1 item numbering; deposit peerj-04-1822-s001.xlsx via Europe PMC PMC4817417 supplementaryFiles","Item codes are positional: data/estevezlopez_2016_panas.py renames the deposits 1st_item..20th_item columns to panas_1..panas_20. The papers Methods list the 20 items in order and Figure 1 numbers each one (1. Interested, 12. Alert, 17. Attentive, ...), which ties each number to an affect term explicitly. Verified both ways: live panas_N equals deposit column N cell for cell for all 442x20 values, and refitting the papers best model 2b(3) on the live data reproduces every Figure 1 standardised loading to <=0.005, all 14 residual correlations to <=0.005 and the factor correlation (-0.407 vs -0.41). Item words are transcribed from Figure 1 (capitalised as printed); response anchors verbatim from the Methods (1 very slightly or not at all ... 5 extremely). Wording rights: the words were copied from the CC BY 4.0 PeerJ article; no non-commercial, fee or redistribution clause for the PANAS was found to quote, so wording_rights is omitted.","The PANAS was administered in Spanish (Sandin et al., 1999 adaptation), but neither the paper nor its data deposit publishes the Spanish wording, so the item text shipped here is the English affect terms and response anchors printed in the paper, not the sentences respondents read.",2026-09-05
evans_2023_vaccination_norms,paper_explicit,study_materials,"Evans WD et al. (2023) PLOS ONE 18(9):e0290757, CC BY 4.0 -- S2 File codebook (10.1371/journal.pone.0290757.s002) for item wording and numbered value labels; Measures section of the article for the same wording and the 1-5 coding; S1 Dataset (.s003) for the raw item columns.","Item text and the five numbered response options transcribed verbatim from the S2 File codebook, which keys each entry to the source variable names close0-2/family0-2/friends0-2/healthc0-2/nigerian0-2; data/evans_2023_vaccination_norms.py strips the wave digit, so the live item code IS the source column name and no positional inference was made. Only the five pro-vaccination social-norms variables were taken (the codebook's norms* composite is defined as the row mean of exactly close, family, friends, healthc, nigerian); the same source file's vaccine-hesitancy items (benefit, everyone, safe, stress, unneces) belong to the sibling table evans_2023_vaccine_hesitancy and were excluded. Option wording differs by item by design -- family and friends use a Strongly disagree..Strongly agree agreement scale, close/healthc/nigerian a proportion scale A few (1-20%)..Nearly all or all (81-100%). Codebook hyphens kept as printed (the article body renders the same ranges with en dashes). No instructions or section prompt are published anywhere in the article or its supplements, so both are left blank. Instrument name taken from the article's Measures section ('pro-vaccination social norms'). Licence check: PLOS ONE CC BY 4.0, items 'adapted from previously validated measures'; no non-commercial, redistribution or fee clause found on the source, so nothing to quote and the rights rules do not fire.",,2026-09-05
