"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,"Una persona no muy feliz","NC",1,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:","A not very happy person"
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,NA,"NC",2,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,NA,"NC",3,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,NA,"NC",4,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,NA,"NC",5,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,NA,"NC",6,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs1","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"En general, me considero:",NA,"Una persona muy feliz","NC",7,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"In general, I consider myself:","A very happy person"
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,"Menos feliz","NC",1,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:","Less happy"
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,NA,"NC",2,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,NA,"NC",3,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,NA,"NC",4,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,NA,"NC",5,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,NA,"NC",6,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:",NA
"extremera_2016_shs","extremera_2016_shs_1","shs2","Subjective Happiness Scale (SHS) - Versión al castellano","Spanish","Por favor, para cada una de las siguientes afirmaciones y/o preguntas rodee con un círculo el número que cree que le describe de forma más apropiada.",NA,"Comparado con la mayoría de la gente que me rodea, me considero:",NA,"Más feliz","NC",7,"Please, for each of the following statements and/or questions, circle the number that you think describes you most appropriately.",NA,"Compared with most of the people around me, I consider myself:","Happier"
