"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise1","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"وقتی با اطلاعات جدید در مورد سلامت رو به رو می شوم می توانم در مورد صحت آنها قضاوت کنم","When faced with new health information, I can judge its accuracy",NA,"هرگز","Never",1
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise1","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"وقتی با اطلاعات جدید در مورد سلامت رو به رو می شوم می توانم در مورد صحت آنها قضاوت کنم","When faced with new health information, I can judge its accuracy",NA,"به ندرت","Rarely",2
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise1","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"وقتی با اطلاعات جدید در مورد سلامت رو به رو می شوم می توانم در مورد صحت آنها قضاوت کنم","When faced with new health information, I can judge its accuracy",NA,"بعضی اوقات","Sometimes",3
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise1","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"وقتی با اطلاعات جدید در مورد سلامت رو به رو می شوم می توانم در مورد صحت آنها قضاوت کنم","When faced with new health information, I can judge its accuracy",NA,"بیشتر اوقات","Usually",4
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise1","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"وقتی با اطلاعات جدید در مورد سلامت رو به رو می شوم می توانم در مورد صحت آنها قضاوت کنم","When faced with new health information, I can judge its accuracy",NA,"همیشه","Always",5
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise2","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"من اطلاعات به دست آمده از منابع مختلف را با هم مقایسه می کنم","I would compare the data obtained from various sources",NA,"هرگز","Never",1
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise2","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"من اطلاعات به دست آمده از منابع مختلف را با هم مقایسه می کنم","I would compare the data obtained from various sources",NA,"به ندرت","Rarely",2
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise2","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"من اطلاعات به دست آمده از منابع مختلف را با هم مقایسه می کنم","I would compare the data obtained from various sources",NA,"بعضی اوقات","Sometimes",3
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise2","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"من اطلاعات به دست آمده از منابع مختلف را با هم مقایسه می کنم","I would compare the data obtained from various sources",NA,"بیشتر اوقات","Usually",4
"ghanbari_2016_helma_appraise","ghanbari_2016_helma_appraise_1","appraise2","Health Literacy Measure for Adolescents (HELMA), appraisal subscale","Persian","دانش آموز عزیز پرسشنامه حاضر مربوط به یک طرح علمی و پژوهشی در رابطه با بررسی توانایی و مهارت های نوجوانان در رابطه با کسب و استفاده از اطلاعات سلامت است. لطفا پاسخ خود را در جلو هر سوال با علامت Х یا ✓ در ستون مورد نظر مشخص نمایید. اطلاعات پرسشنامه ها بدون نام و اطلاعات آن محرمانه می باشد. لطفا به تمام سوالات پاسخ دهید.","Dear respondent, This questionnaire deals with your perceived abilities and competencies on obtaining and using health information. For each question, put a check mark or cross in the box in front of the answer that best describes your abilities or skills. Please answer all questions.",NA,NA,"من اطلاعات به دست آمده از منابع مختلف را با هم مقایسه می کنم","I would compare the data obtained from various sources",NA,"همیشه","Always",5
