"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,"strongly disagree",1
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,NA,2
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,NA,3
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,NA,4
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,NA,5
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,NA,6
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID1","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having conversations with each other.",NA,"strongly agree",7
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,"strongly disagree",1
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,NA,2
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,NA,3
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,NA,4
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,NA,5
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,NA,6
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID2","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid having friendships with each other.",NA,"strongly agree",7
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID3","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid spending leisure time with each other.",NA,"strongly disagree",1
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID3","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid spending leisure time with each other.",NA,NA,2
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID3","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid spending leisure time with each other.",NA,NA,3
"gordils_2021_behavioral_avoidance","gordils_2021_behavioral_avoidance_1","AVOID3","Behavioral Avoidance Scale (Lackey, 2012), adapted","Rate how much you agree with each statement on a scale from 1 (strongly disagree) to 7 (strongly agree).",NA,"In my ZIP code, Black and White people avoid spending leisure time with each other.",NA,NA,4
