"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23a_Sideeffects","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine can cause adverse effects",NA,"Totally disagree",1,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23a_Sideeffects","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine can cause adverse effects",NA,"Partly disagree",2,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23a_Sideeffects","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine can cause adverse effects",NA,"Neither agree or disagree",3,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23a_Sideeffects","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine can cause adverse effects",NA,"Partly agree",4,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23a_Sideeffects","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine can cause adverse effects",NA,"Totally agree",5,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23b_Protec_condyloma","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing condyloma",NA,"Totally disagree",1,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23b_Protec_condyloma","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing condyloma",NA,"Partly disagree",2,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23b_Protec_condyloma","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing condyloma",NA,"Neither agree or disagree",3,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23b_Protec_condyloma","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing condyloma",NA,"Partly agree",4,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23b_Protec_condyloma","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing condyloma",NA,"Totally agree",5,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23c_Protect_Cxca","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing cervical cancer",NA,"Totally disagree",1,NA,NA,NA,NA
"grandahl_2017_hpv_beliefs","grandahl_2017_hpv_beliefs_1","Q23c_Protect_Cxca","Beliefs about HPV and HPV vaccine - questions based on the Health Belief Model","Swedish",NA,NA,"HPV vaccine is effective in preventing cervical cancer",NA,"Partly disagree",2,NA,NA,NA,NA
