"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_1","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the fascial compartments delimiting the major muscle groups of the upper limbs.",NA,"Not at all",1
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_1","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the fascial compartments delimiting the major muscle groups of the upper limbs.",NA,"A little bit",2
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_1","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the fascial compartments delimiting the major muscle groups of the upper limbs.",NA,"Somewhat",3
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_1","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the fascial compartments delimiting the major muscle groups of the upper limbs.",NA,"Quite a bit",4
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_1","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the fascial compartments delimiting the major muscle groups of the upper limbs.",NA,"Very much",5
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_2","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the origin, course and distribution of the major arteries and their branches",NA,"Not at all",1
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_2","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the origin, course and distribution of the major arteries and their branches",NA,"A little bit",2
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_2","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the origin, course and distribution of the major arteries and their branches",NA,"Somewhat",3
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_2","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the origin, course and distribution of the major arteries and their branches",NA,"Quite a bit",4
"han_2015_peer_assisted_learning","han_2015_peer_assisted_learning_1","B_2","Anatomy Dissection Course Questionnaire, Section B (self-assessment of upper-limb dissection learning objectives)","This questionnaire has been designed to identify how you regard the learning experience of anatomy dissection course. Please answer every question honestly by placing a mark or describing your opinion in the blank. Thank you for your participation.","B. The following scales are about how well you understand the learning objectives of upper-limb dissection. Please read each scale carefully and circle the number that best describes how much you can.","Describe the origin, course and distribution of the major arteries and their branches",NA,"Very much",5
