"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I am a member of the MSVA and can communicate freely with others.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I am a member of the MSVA and can communicate freely with others.",NA,"Strongly disagree",1
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I am a member of the MSVA and can communicate freely with others.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I am a member of the MSVA and can communicate freely with others.",NA,NA,2
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I am a member of the MSVA and can communicate freely with others.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I am a member of the MSVA and can communicate freely with others.",NA,NA,3
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I am a member of the MSVA and can communicate freely with others.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I am a member of the MSVA and can communicate freely with others.",NA,NA,4
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I am a member of the MSVA and can communicate freely with others.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I am a member of the MSVA and can communicate freely with others.",NA,"Strongly agree",5
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I can establish good social relations with other users and become friends.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I can establish good social relations with other users and become friends.",NA,"Strongly disagree",1
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I can establish good social relations with other users and become friends.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I can establish good social relations with other users and become friends.",NA,NA,2
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I can establish good social relations with other users and become friends.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I can establish good social relations with other users and become friends.",NA,NA,3
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I can establish good social relations with other users and become friends.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I can establish good social relations with other users and become friends.",NA,NA,4
"hewei_2022_msva_purchase","hewei_2022_msva_purchase_1","I can establish good social relations with other users and become friends.","MSVA clothing purchase questionnaire (media interactivity, perceived value, immersion experience, purchase intention)","Chinese",NA,NA,"I can establish good social relations with other users and become friends.",NA,"Strongly agree",5
