"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_2","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I told myself that 'this can't be true'.",NA,"Rarely or never",1
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_2","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I told myself that 'this can't be true'.",NA,"Sometimes",2
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_2","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I told myself that 'this can't be true'.",NA,"Often",3
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_2","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I told myself that 'this can't be true'.",NA,"Very often",4
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_7","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I refused to believe that it happened to me.",NA,"Rarely or never",1
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_7","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I refused to believe that it happened to me.",NA,"Sometimes",2
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_7","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I refused to believe that it happened to me.",NA,"Often",3
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_7","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I refused to believe that it happened to me.",NA,"Very often",4
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_10","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I accepted the reality of how it turned out.",NA,"Rarely or never",1
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_10","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I accepted the reality of how it turned out.",NA,"Sometimes",2
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_10","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I accepted the reality of how it turned out.",NA,"Often",3
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_10","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I accepted the reality of how it turned out.",NA,"Very often",4
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_12","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I learned to live with it.",NA,"Rarely or never",1
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_12","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I learned to live with it.",NA,"Sometimes",2
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_12","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I learned to live with it.",NA,"Often",3
"IJLS_Eersel_2024_DenialAcceptance","IJLS_Eersel_2024_DenialAcceptance_1","BC_12","Brief COPE -- denial and acceptance subscales (Dutch version)","Dutch",NA,NA,"I learned to live with it.",NA,"Very often",4
