"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"jiang_2021_resilience","jiang_2021_resilience_1","C1","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"总的来说我的身体健康状况良好","I am generally in good health.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C1","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"总的来说我的身体健康状况良好","I am generally in good health.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C1","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"总的来说我的身体健康状况良好","I am generally in good health.",NA,"基本符合","Basically match",3
"jiang_2021_resilience","jiang_2021_resilience_1","C1","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"总的来说我的身体健康状况良好","I am generally in good health.",NA,"少部分符合","Somewhat match",2
"jiang_2021_resilience","jiang_2021_resilience_1","C1","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"总的来说我的身体健康状况良好","I am generally in good health.",NA,"完全不符合","Extremely not match",1
"jiang_2021_resilience","jiang_2021_resilience_1","C2","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我行动方便，活动自如","I can move freely and easily.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C2","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我行动方便，活动自如","I can move freely and easily.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C2","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我行动方便，活动自如","I can move freely and easily.",NA,"基本符合","Basically match",3
"jiang_2021_resilience","jiang_2021_resilience_1","C2","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我行动方便，活动自如","I can move freely and easily.",NA,"少部分符合","Somewhat match",2
"jiang_2021_resilience","jiang_2021_resilience_1","C2","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我行动方便，活动自如","I can move freely and easily.",NA,"完全不符合","Extremely not match",1
"jiang_2021_resilience","jiang_2021_resilience_1","C3","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我思维清晰，能够与他人正常交流","I can think clearly and communicate with others.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C3","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我思维清晰，能够与他人正常交流","I can think clearly and communicate with others.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C3","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我思维清晰，能够与他人正常交流","I can think clearly and communicate with others.",NA,"基本符合","Basically match",3
"jiang_2021_resilience","jiang_2021_resilience_1","C3","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我思维清晰，能够与他人正常交流","I can think clearly and communicate with others.",NA,"少部分符合","Somewhat match",2
"jiang_2021_resilience","jiang_2021_resilience_1","C3","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"我思维清晰，能够与他人正常交流","I can think clearly and communicate with others.",NA,"完全不符合","Extremely not match",1
"jiang_2021_resilience","jiang_2021_resilience_1","C4","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"地震发生时相信我能控制好自己的情绪","I believe I can control my emotions when an earthquake strikes.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C4","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"地震发生时相信我能控制好自己的情绪","I believe I can control my emotions when an earthquake strikes.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C4","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"地震发生时相信我能控制好自己的情绪","I believe I can control my emotions when an earthquake strikes.",NA,"基本符合","Basically match",3
"jiang_2021_resilience","jiang_2021_resilience_1","C4","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"地震发生时相信我能控制好自己的情绪","I believe I can control my emotions when an earthquake strikes.",NA,"少部分符合","Somewhat match",2
"jiang_2021_resilience","jiang_2021_resilience_1","C4","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"地震发生时相信我能控制好自己的情绪","I believe I can control my emotions when an earthquake strikes.",NA,"完全不符合","Extremely not match",1
"jiang_2021_resilience","jiang_2021_resilience_1","C5","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"遇到困难时，我能够从积极的角度看待问题","I always have a positive view when suffering difficulties.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C5","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"遇到困难时，我能够从积极的角度看待问题","I always have a positive view when suffering difficulties.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C5","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"遇到困难时，我能够从积极的角度看待问题","I always have a positive view when suffering difficulties.",NA,"基本符合","Basically match",3
"jiang_2021_resilience","jiang_2021_resilience_1","C5","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"遇到困难时，我能够从积极的角度看待问题","I always have a positive view when suffering difficulties.",NA,"少部分符合","Somewhat match",2
"jiang_2021_resilience","jiang_2021_resilience_1","C5","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"遇到困难时，我能够从积极的角度看待问题","I always have a positive view when suffering difficulties.",NA,"完全不符合","Extremely not match",1
"jiang_2021_resilience","jiang_2021_resilience_1","C6","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"面临困境时我不会轻易放弃","I do not give up easily when suffering difficulties.",NA,"完全符合","Extremely match",5
"jiang_2021_resilience","jiang_2021_resilience_1","C6","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"面临困境时我不会轻易放弃","I do not give up easily when suffering difficulties.",NA,"大部分符合","Highly match",4
"jiang_2021_resilience","jiang_2021_resilience_1","C6","Individual resilience questionnaire based on earthquake disaster from the perspective of nursing","Chinese","请在您认为符合的一栏打“√”。本研究为匿名填写，答案无关对错，请按照您的真实情况填写即可。您填写的所有内容将被严格保密，请您放心填写。衷心感谢您的支持与配合！","Please tick the box“√” that you think fits. This study is filled in anonymously. The answer has nothing to do with right or wrong, so please fill in the questionnaire according to your real situation. All contents you fill in will be strictly confidential and thank you very much for your cooperation.",NA,NA,"面临困境时我不会轻易放弃","I do not give up easily when suffering difficulties.",NA,"基本符合","Basically match",3
