"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"不同意","Disagree",2
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"同意","Agree",6
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc1","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"每当我有问题问老师时，他们会认真的倾听。","Whenever I have a question to ask my teachers, they listen attentively.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"不同意","Disagree",2
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"同意","Agree",6
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc2","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想与老师探讨学习，他们会乐意。","If I want to discuss my studies with my teachers, they are willing to.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptsacc","jiang_2024_ptsacc_1","PTSAcc3","Student Perceptions of Teacher Support (Metheny et al., 2008) - Accessible subscale","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from “strongly disagree” to “strongly agree”.",NA,NA,"如果我想跟老师探讨学习之外的事情，他们也是愿意的。","If I want to discuss things other than my studies with my teachers, they are also willing to.",NA,"不同意","Disagree",2
