"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"li_2025_market_environment","li_2025_market_environment_1","ME1","Market Environment (ME) scale","Chinese",NA,NA,"Customer demand has rapidly changed",NA,"Inconsistent",3
"li_2025_market_environment","li_2025_market_environment_1","ME1","Market Environment (ME) scale","Chinese",NA,NA,"Customer demand has rapidly changed",NA,"General",4
"li_2025_market_environment","li_2025_market_environment_1","ME1","Market Environment (ME) scale","Chinese",NA,NA,"Customer demand has rapidly changed",NA,"Consistent",5
"li_2025_market_environment","li_2025_market_environment_1","ME1","Market Environment (ME) scale","Chinese",NA,NA,"Customer demand has rapidly changed",NA,"Very consistent",6
"li_2025_market_environment","li_2025_market_environment_1","ME1","Market Environment (ME) scale","Chinese",NA,NA,"Customer demand has rapidly changed",NA,"Completely consistent",7
"li_2025_market_environment","li_2025_market_environment_1","ME2","Market Environment (ME) scale","Chinese",NA,NA,"It is difficult to predict market competition",NA,"Inconsistent",3
"li_2025_market_environment","li_2025_market_environment_1","ME2","Market Environment (ME) scale","Chinese",NA,NA,"It is difficult to predict market competition",NA,"General",4
"li_2025_market_environment","li_2025_market_environment_1","ME2","Market Environment (ME) scale","Chinese",NA,NA,"It is difficult to predict market competition",NA,"Consistent",5
"li_2025_market_environment","li_2025_market_environment_1","ME2","Market Environment (ME) scale","Chinese",NA,NA,"It is difficult to predict market competition",NA,"Very consistent",6
"li_2025_market_environment","li_2025_market_environment_1","ME2","Market Environment (ME) scale","Chinese",NA,NA,"It is difficult to predict market competition",NA,"Completely consistent",7
"li_2025_market_environment","li_2025_market_environment_1","ME3","Market Environment (ME) scale","Chinese",NA,NA,"Competition among peers has intensified",NA,"Inconsistent",3
"li_2025_market_environment","li_2025_market_environment_1","ME3","Market Environment (ME) scale","Chinese",NA,NA,"Competition among peers has intensified",NA,"General",4
"li_2025_market_environment","li_2025_market_environment_1","ME3","Market Environment (ME) scale","Chinese",NA,NA,"Competition among peers has intensified",NA,"Consistent",5
"li_2025_market_environment","li_2025_market_environment_1","ME3","Market Environment (ME) scale","Chinese",NA,NA,"Competition among peers has intensified",NA,"Very consistent",6
"li_2025_market_environment","li_2025_market_environment_1","ME3","Market Environment (ME) scale","Chinese",NA,NA,"Competition among peers has intensified",NA,"Completely consistent",7
"li_2025_market_environment","li_2025_market_environment_1","ME4","Market Environment (ME) scale","Chinese",NA,NA,"Most new products in the market have been developed through technological breakthroughs",NA,"Inconsistent",3
"li_2025_market_environment","li_2025_market_environment_1","ME4","Market Environment (ME) scale","Chinese",NA,NA,"Most new products in the market have been developed through technological breakthroughs",NA,"General",4
"li_2025_market_environment","li_2025_market_environment_1","ME4","Market Environment (ME) scale","Chinese",NA,NA,"Most new products in the market have been developed through technological breakthroughs",NA,"Consistent",5
"li_2025_market_environment","li_2025_market_environment_1","ME4","Market Environment (ME) scale","Chinese",NA,NA,"Most new products in the market have been developed through technological breakthroughs",NA,"Very consistent",6
"li_2025_market_environment","li_2025_market_environment_1","ME4","Market Environment (ME) scale","Chinese",NA,NA,"Most new products in the market have been developed through technological breakthroughs",NA,"Completely consistent",7
"li_2025_market_environment","li_2025_market_environment_1","ME5","Market Environment (ME) scale","Chinese",NA,NA,"The pace of technological change in this industry is rapid",NA,"Inconsistent",3
"li_2025_market_environment","li_2025_market_environment_1","ME5","Market Environment (ME) scale","Chinese",NA,NA,"The pace of technological change in this industry is rapid",NA,"General",4
"li_2025_market_environment","li_2025_market_environment_1","ME5","Market Environment (ME) scale","Chinese",NA,NA,"The pace of technological change in this industry is rapid",NA,"Consistent",5
"li_2025_market_environment","li_2025_market_environment_1","ME5","Market Environment (ME) scale","Chinese",NA,NA,"The pace of technological change in this industry is rapid",NA,"Very consistent",6
"li_2025_market_environment","li_2025_market_environment_1","ME5","Market Environment (ME) scale","Chinese",NA,NA,"The pace of technological change in this industry is rapid",NA,"Completely consistent",7
