"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE1","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"The Earth's carrying capacity is nearing its maximum.",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE1","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"The Earth's carrying capacity is nearing its maximum.",NA,NA,2,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE1","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"The Earth's carrying capacity is nearing its maximum.",NA,NA,3,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE1","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"The Earth's carrying capacity is nearing its maximum.",NA,NA,4,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE1","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"The Earth's carrying capacity is nearing its maximum.",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE2","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Humans possess the prerogative to alter the natural environment in order to accommodate their own requirements.",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE2","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Humans possess the prerogative to alter the natural environment in order to accommodate their own requirements.",NA,NA,2,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE2","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Humans possess the prerogative to alter the natural environment in order to accommodate their own requirements.",NA,NA,3,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE2","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Humans possess the prerogative to alter the natural environment in order to accommodate their own requirements.",NA,NA,4,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE2","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Humans possess the prerogative to alter the natural environment in order to accommodate their own requirements.",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE3","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Human intervention in nature frequently results in catastrophic outcomes.",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE3","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Human intervention in nature frequently results in catastrophic outcomes.",NA,NA,2,NA,NA,NA,NA
"liem_2024_attitude_env","liem_2024_attitude_env_1","ATE3","Attitude toward the environment (revised New Ecological Paradigm scale; Dunlap, Van Liere, Mertig & Jones, 2000)","Vietnamese",NA,NA,"Human intervention in nature frequently results in catastrophic outcomes.",NA,NA,3,NA,NA,NA,NA
