"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism1","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"In uncertain times, I usually expect the best.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism1","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"In uncertain times, I usually expect the best.",NA,"disagree a little",2,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism1","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"In uncertain times, I usually expect the best.",NA,"neither agree nor disagree",3,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism1","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"In uncertain times, I usually expect the best.",NA,"agree a lot",4,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism1","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"In uncertain times, I usually expect the best.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism2","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"It's easy for me to relax.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism2","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"It's easy for me to relax.",NA,"disagree a little",2,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism2","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"It's easy for me to relax.",NA,"neither agree nor disagree",3,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism2","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"It's easy for me to relax.",NA,"agree a lot",4,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism2","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"It's easy for me to relax.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism3","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"If something can go wrong for me, it will.",NA,"strongly agree",1,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism3","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"If something can go wrong for me, it will.",NA,"agree a lot",2,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism3","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"If something can go wrong for me, it will.",NA,"neither agree nor disagree",3,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism3","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"If something can go wrong for me, it will.",NA,"disagree a little",4,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism3","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"If something can go wrong for me, it will.",NA,"strongly disagree",5,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism4","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"I'm always optimistic about my future.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2018_lot_r","liu_2018_lot_r_1","Optimism4","Life Orientation Test-Revised (LOT-R)","Chinese",NA,NA,"I'm always optimistic about my future.",NA,"disagree a little",2,NA,NA,NA,NA
