"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"disagree",2,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"slightly disagree",3,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"slightly agree",5,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"agree",6,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio03","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"I am satisfied with life.",NA,"strongly agree",7,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"disagree",2,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"slightly disagree",3,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"slightly agree",5,NA,NA,NA,NA
"liu_2018_swls","liu_2018_swls_1","life_satisficatio04","Satisfaction with Life Scale (SWLS)","Chinese",NA,NA,"So far I have gotten the important things I want in life",NA,"agree",6,NA,NA,NA,NA
