"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC1","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"If it is entirely up to me, I am confident about buying agricultural products of Hulunbuir’s regional public brands.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC1","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"If it is entirely up to me, I am confident about buying agricultural products of Hulunbuir’s regional public brands.",NA,NA,2,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC1","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"If it is entirely up to me, I am confident about buying agricultural products of Hulunbuir’s regional public brands.",NA,NA,3,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC1","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"If it is entirely up to me, I am confident about buying agricultural products of Hulunbuir’s regional public brands.",NA,NA,4,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC1","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"If it is entirely up to me, I am confident about buying agricultural products of Hulunbuir’s regional public brands.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC2","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"There are many channels, and easy to agricultural products of Hulunbuir’s regional public brands.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC2","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"There are many channels, and easy to agricultural products of Hulunbuir’s regional public brands.",NA,NA,2,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC2","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"There are many channels, and easy to agricultural products of Hulunbuir’s regional public brands.",NA,NA,3,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC2","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"There are many channels, and easy to agricultural products of Hulunbuir’s regional public brands.",NA,NA,4,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC2","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"There are many channels, and easy to agricultural products of Hulunbuir’s regional public brands.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC3","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"I have the resources and time to identify and buy agricultural products of Hulunbuir’s regional public brands.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC3","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"I have the resources and time to identify and buy agricultural products of Hulunbuir’s regional public brands.",NA,NA,2,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC3","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"I have the resources and time to identify and buy agricultural products of Hulunbuir’s regional public brands.",NA,NA,3,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC3","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"I have the resources and time to identify and buy agricultural products of Hulunbuir’s regional public brands.",NA,NA,4,NA,NA,NA,NA
"liu_2023_perceived_control","liu_2023_perceived_control_1","PBC3","Perceived Behavioral Control toward agricultural products’ regional public brand","Chinese",NA,NA,"I have the resources and time to identify and buy agricultural products of Hulunbuir’s regional public brands.",NA,"strongly agree",5,NA,NA,NA,NA
