"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS1","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często czułeś/czułaś się wyprowadzony/a z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","How often have you felt upset in connection with new ICT programs/systems?",NA,"Nigdy","Never",1
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS1","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często czułeś/czułaś się wyprowadzony/a z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","How often have you felt upset in connection with new ICT programs/systems?",NA,"Rzadko","Rarely",2
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS1","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często czułeś/czułaś się wyprowadzony/a z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","How often have you felt upset in connection with new ICT programs/systems?",NA,"Czasami","Sometimes",3
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS1","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często czułeś/czułaś się wyprowadzony/a z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","How often have you felt upset in connection with new ICT programs/systems?",NA,"Często","Often",4
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS1","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często czułeś/czułaś się wyprowadzony/a z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","How often have you felt upset in connection with new ICT programs/systems?",NA,"Zawsze","Always",5
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS2","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często miałeś/aś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","How often have you felt that you had no control over ICT changes connected with new procedures and your tasks?",NA,"Nigdy","Never",1
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS2","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często miałeś/aś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","How often have you felt that you had no control over ICT changes connected with new procedures and your tasks?",NA,"Rzadko","Rarely",2
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS2","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często miałeś/aś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","How often have you felt that you had no control over ICT changes connected with new procedures and your tasks?",NA,"Czasami","Sometimes",3
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS2","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często miałeś/aś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","How often have you felt that you had no control over ICT changes connected with new procedures and your tasks?",NA,"Często","Often",4
"makowska_2023_pdts","makowska_2023_pdts_1","PDTS2","Digital Transformation Stress Scale (DTSS)","Polish",NA,NA,NA,NA,"Jak często miałeś/aś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","How often have you felt that you had no control over ICT changes connected with new procedures and your tasks?",NA,"Zawsze","Always",5
