"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q1","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I found it difficult to relax",NA,"Not at all",1
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q1","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I found it difficult to relax",NA,"Slightly",2
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q1","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I found it difficult to relax",NA,"Moderately",3
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q1","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I found it difficult to relax",NA,"Very",4
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q1","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I found it difficult to relax",NA,"Extremely",5
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q2","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was very irritable",NA,"Not at all",1
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q2","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was very irritable",NA,"Slightly",2
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q2","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was very irritable",NA,"Moderately",3
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q2","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was very irritable",NA,"Very",4
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q2","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was very irritable",NA,"Extremely",5
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q3","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was worrying too much about different things",NA,"Not at all",1
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q3","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was worrying too much about different things",NA,"Slightly",2
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q3","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was worrying too much about different things",NA,"Moderately",3
"mhscdc_fried_2020_ema","mhscdc_fried_2020_ema_1","Q3","MHSCDC EMA Mini Survey (Fried, Papanikolaou & Epskamp 2020)","In the past 3 hours...",NA,"I was worrying too much about different things",NA,"Very",4
