"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"mistry_2022_hardship","mistry_2022_hardship_1","memory","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"Having problem in memory or concentration during last mont",NA,"No problem",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","memory","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"Having problem in memory or concentration during last mont",NA,"Low memory or concentration",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","comorbidity","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"Currently suffering from any NCDs",NA,"No",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","comorbidity","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"Currently suffering from any NCDs",NA,"Yes",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","concern","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How concerned are you about the COVID-19 pandemic?",NA,"not concerned",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","concern","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How concerned are you about the COVID-19 pandemic?",NA,"Somewhat to very concern",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","overwhelmed","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How overwhelmed are you because of this pandemic?",NA,"No",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","overwhelmed","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How overwhelmed are you because of this pandemic?",NA,"yes",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_food","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the food that you need because of the COVID-19 pandemic or social distancing rules?",NA,"No difficulty",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_food","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the food that you need because of the COVID-19 pandemic or social distancing rules?",NA,"Some difficulty",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_medicine","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the medicine that you need because of the COVID-19 pandemic or social distancing rules?",NA,"No difficulty",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_medicine","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the medicine that you need because of the COVID-19 pandemic or social distancing rules?",NA,"Some difficulty",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_earning","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the e",NA,"No difficulty",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","difficulty_earning","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have obtaining the e",NA,"Some difficulty",1,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","routine_medical_difficult","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have with getting routine medical care that you need because of the COVID-19 pandemic or social distancing rules?",NA,"No difficulty",0,NA,NA,NA,NA
"mistry_2022_hardship","mistry_2022_hardship_1","routine_medical_difficult","COVID-19 hardship and concern battery, ARCED Foundation older-adult telephone survey (items adapted from the Questionnaire for Assessing the Impact of the COVID-19 Pandemic on Older Adults, QAICPOA)","Bengali",NA,NA,"How much difficulty do you have with getting routine medical care that you need because of the COVID-19 pandemic or social distancing rules?",NA,"Somewhat difficult",1,NA,NA,NA,NA
