"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"muslih_2024_rses","muslih_2024_rses_1","RSES1","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"On the whole, I am satisfied with myself.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES1","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"On the whole, I am satisfied with myself.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES1","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"On the whole, I am satisfied with myself.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES1","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"On the whole, I am satisfied with myself.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES2","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"At times, I think I am no good at all.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES2","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"At times, I think I am no good at all.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES2","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"At times, I think I am no good at all.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES2","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"At times, I think I am no good at all.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES3","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I have a number of good qualities.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES3","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I have a number of good qualities.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES3","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I have a number of good qualities.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES3","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I have a number of good qualities.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES4","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I am able to do things as well as most other people.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES4","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I am able to do things as well as most other people.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES4","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I am able to do things as well as most other people.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES4","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I am able to do things as well as most other people.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES5","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel I do not have much to be proud of.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES5","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel I do not have much to be proud of.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES5","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel I do not have much to be proud of.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES5","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel I do not have much to be proud of.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES6","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I certainly feel useless at times.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES6","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I certainly feel useless at times.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES6","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I certainly feel useless at times.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES6","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I certainly feel useless at times.",NA,"Strongly agree",4
"muslih_2024_rses","muslih_2024_rses_1","RSES7","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I’m a person of worth, at least on an equal plane with others.",NA,"Strongly disagree",1
"muslih_2024_rses","muslih_2024_rses_1","RSES7","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I’m a person of worth, at least on an equal plane with others.",NA,"Disagree",2
"muslih_2024_rses","muslih_2024_rses_1","RSES7","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I’m a person of worth, at least on an equal plane with others.",NA,"Agree",3
"muslih_2024_rses","muslih_2024_rses_1","RSES7","Rosenberg Self-Esteem Scale (RSES), Indonesian version","Indonesian",NA,NA,"I feel that I’m a person of worth, at least on an equal plane with others.",NA,"Strongly agree",4
