"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_1","Green perceived behavioral control",NA,NA,"I believe I have the ability to purchase green products.",NA,NA,1
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_1","Green perceived behavioral control",NA,NA,"I believe I have the ability to purchase green products.",NA,NA,2
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_1","Green perceived behavioral control",NA,NA,"I believe I have the ability to purchase green products.",NA,NA,3
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_1","Green perceived behavioral control",NA,NA,"I believe I have the ability to purchase green products.",NA,NA,4
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_1","Green perceived behavioral control",NA,NA,"I believe I have the ability to purchase green products.",NA,NA,5
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_2","Green perceived behavioral control",NA,NA,"If it were entirely up to me, I am confident that I will purchase green products.",NA,NA,1
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_2","Green perceived behavioral control",NA,NA,"If it were entirely up to me, I am confident that I will purchase green products.",NA,NA,2
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_2","Green perceived behavioral control",NA,NA,"If it were entirely up to me, I am confident that I will purchase green products.",NA,NA,3
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_2","Green perceived behavioral control",NA,NA,"If it were entirely up to me, I am confident that I will purchase green products.",NA,NA,4
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_2","Green perceived behavioral control",NA,NA,"If it were entirely up to me, I am confident that I will purchase green products.",NA,NA,5
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_3","Green perceived behavioral control",NA,NA,"I see myself as capable of purchasing green products in future.",NA,NA,1
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_3","Green perceived behavioral control",NA,NA,"I see myself as capable of purchasing green products in future.",NA,NA,2
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_3","Green perceived behavioral control",NA,NA,"I see myself as capable of purchasing green products in future.",NA,NA,3
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_3","Green perceived behavioral control",NA,NA,"I see myself as capable of purchasing green products in future.",NA,NA,4
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_3","Green perceived behavioral control",NA,NA,"I see myself as capable of purchasing green products in future.",NA,NA,5
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_4","Green perceived behavioral control",NA,NA,"I have resources, time and willingness to purchase green products",NA,NA,1
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_4","Green perceived behavioral control",NA,NA,"I have resources, time and willingness to purchase green products",NA,NA,2
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_4","Green perceived behavioral control",NA,NA,"I have resources, time and willingness to purchase green products",NA,NA,3
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_4","Green perceived behavioral control",NA,NA,"I have resources, time and willingness to purchase green products",NA,NA,4
"ngo_2025_green_pbc","ngo_2025_green_pbc_1","G_PBC_4","Green perceived behavioral control",NA,NA,"I have resources, time and willingness to purchase green products",NA,NA,5
