"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm1","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural immunity lasts longer than a vaccination",NA,"Completely disagree",1
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm1","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural immunity lasts longer than a vaccination",NA,"Disagree",2
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm1","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural immunity lasts longer than a vaccination",NA,"Neither disagree nor agree",3
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm1","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural immunity lasts longer than a vaccination",NA,"Agree",4
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm1","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural immunity lasts longer than a vaccination",NA,"Completely agree",5
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm2","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural exposure to viruses and germs gives the safest protection",NA,"Completely disagree",1
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm2","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural exposure to viruses and germs gives the safest protection",NA,"Disagree",2
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm2","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural exposure to viruses and germs gives the safest protection",NA,"Neither disagree nor agree",3
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm2","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural exposure to viruses and germs gives the safest protection",NA,"Agree",4
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm2","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Natural exposure to viruses and germs gives the safest protection",NA,"Completely agree",5
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm3","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Being exposed to diseases naturally is safer for the immune system than being exposed through vaccination",NA,"Completely disagree",1
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm3","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Being exposed to diseases naturally is safer for the immune system than being exposed through vaccination",NA,"Disagree",2
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm3","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Being exposed to diseases naturally is safer for the immune system than being exposed through vaccination",NA,"Neither disagree nor agree",3
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm3","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Being exposed to diseases naturally is safer for the immune system than being exposed through vaccination",NA,"Agree",4
"pavic_2022_natural_immunity","pavic_2022_natural_immunity_1","Imm3","Vaccination Attitudes Examination (VAX) Scale (Martin & Petrie, 2017) - preference for natural immunity subscale, 3 items","Croatian",NA,NA,"Being exposed to diseases naturally is safer for the immune system than being exposed through vaccination",NA,"Completely agree",5
