"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","resp","option_text"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","die","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,1,"certainly not die"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","die","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,2,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","die","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,3,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","die","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,4,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","die","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,5,"certainly die"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","hospital","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,1,"certainly not end up in a hospital"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","hospital","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,2,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","hospital","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,3,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","hospital","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,4,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","hospital","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will ...",NA,5,"certainly end up in a hospital"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","symptoms","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will get ...",NA,1,"no symptoms"
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","symptoms","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will get ...",NA,2,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","symptoms","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will get ...",NA,3,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","symptoms","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will get ...",NA,4,NA
"peters_2025_gen_risk_strength","peters_2025_gen_risk_strength_1","symptoms","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Generic Belief items, belief-strength (expectancy) component",NA,NA,"If I get infected with the coronavirus, I will get ...",NA,5,"severe symptoms"
