"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR1","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… rejecting of myself",NA,"Completely",1
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR1","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… rejecting of myself",NA,NA,2
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR1","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… rejecting of myself",NA,NA,3
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR1","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… rejecting of myself",NA,"Not at all",4
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive2","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… accepting of myself",NA,"Not at all",1
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive2","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… accepting of myself",NA,NA,2
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive2","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… accepting of myself",NA,NA,3
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive2","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… accepting of myself",NA,"Completely",4
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR3","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… dislike toward myself",NA,"Completely",1
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR3","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… dislike toward myself",NA,NA,2
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR3","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… dislike toward myself",NA,NA,3
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgiveR3","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… dislike toward myself",NA,"Not at all",4
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive4","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… forgiving myself",NA,"Not at all",1
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive4","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… forgiving myself",NA,NA,2
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive4","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… forgiving myself",NA,NA,3
"pierro_2018_selfforgive_s1","pierro_2018_selfforgive_s1_1","sforgive4","State Self-Forgiveness Scale (SSFS), feelings subscale (4 items)","Italian",NA,NA,"I feel… forgiving myself",NA,"Completely",4
