table,section_id,item,instrument,language,instructions,section_prompt,item_text,correct_response,option_text,resp
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect1,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,interested,,Very slightly or not at all,1
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect1,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,interested,,A little,2
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect1,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,interested,,Moderately,3
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect1,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,interested,,Quite a bit,4
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect1,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,interested,,Extremely,5
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect2,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,excited,,Very slightly or not at all,1
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect2,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,excited,,A little,2
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect2,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,excited,,Moderately,3
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect2,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,excited,,Quite a bit,4
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect2,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,excited,,Extremely,5
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect3,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,strong,,Very slightly or not at all,1
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect3,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,strong,,A little,2
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect3,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,strong,,Moderately,3
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect3,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,strong,,Quite a bit,4
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect3,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,strong,,Extremely,5
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect4,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,enthusiastic,,Very slightly or not at all,1
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect4,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,enthusiastic,,A little,2
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect4,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,enthusiastic,,Moderately,3
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect4,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,enthusiastic,,Quite a bit,4
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect4,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,enthusiastic,,Extremely,5
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect5,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,proud,,Very slightly or not at all,1
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect5,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,proud,,A little,2
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect5,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,proud,,Moderately,3
pierro_2018_posaffect_s3,pierro_2018_posaffect_s3_1,posaffect5,"Positive and Negative Affect Schedule (PANAS), Positive Affect subscale",Italian,How do you feel currently about this transgression?,,proud,,Quite a bit,4
