"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"powell_2018_trust","powell_2018_trust_1","Trust1","Adapted SOEP-Trust scale",NA,NA,"In general, you can trust staff/students at the host university",NA,"disagree strongly",1
"powell_2018_trust","powell_2018_trust_1","Trust1","Adapted SOEP-Trust scale",NA,NA,"In general, you can trust staff/students at the host university",NA,"disagree somewhat",2
"powell_2018_trust","powell_2018_trust_1","Trust1","Adapted SOEP-Trust scale",NA,NA,"In general, you can trust staff/students at the host university",NA,"agree somewhat",3
"powell_2018_trust","powell_2018_trust_1","Trust1","Adapted SOEP-Trust scale",NA,NA,"In general, you can trust staff/students at the host university",NA,"agree strongly",4
"powell_2018_trust","powell_2018_trust_1","Trust2","Adapted SOEP-Trust scale",NA,NA,NA,NA,"disagree strongly",1
"powell_2018_trust","powell_2018_trust_1","Trust2","Adapted SOEP-Trust scale",NA,NA,NA,NA,"disagree somewhat",2
"powell_2018_trust","powell_2018_trust_1","Trust2","Adapted SOEP-Trust scale",NA,NA,NA,NA,"agree somewhat",3
"powell_2018_trust","powell_2018_trust_1","Trust2","Adapted SOEP-Trust scale",NA,NA,NA,NA,"agree strongly",4
"powell_2018_trust","powell_2018_trust_1","Trust3","Adapted SOEP-Trust scale",NA,NA,NA,NA,"disagree strongly",1
"powell_2018_trust","powell_2018_trust_1","Trust3","Adapted SOEP-Trust scale",NA,NA,NA,NA,"disagree somewhat",2
"powell_2018_trust","powell_2018_trust_1","Trust3","Adapted SOEP-Trust scale",NA,NA,NA,NA,"agree somewhat",3
"powell_2018_trust","powell_2018_trust_1","Trust3","Adapted SOEP-Trust scale",NA,NA,NA,NA,"agree strongly",4
