"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp1","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I often perform my job duties very well.",NA,"strongly disagree",1,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp1","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I often perform my job duties very well.",NA,NA,2,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp1","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I often perform my job duties very well.",NA,NA,3,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp1","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I often perform my job duties very well.",NA,NA,4,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp1","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I often perform my job duties very well.",NA,"strongly agree",5,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp2","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I am able to meet the requirements of my job.",NA,"strongly disagree",1,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp2","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I am able to meet the requirements of my job.",NA,NA,2,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp2","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I am able to meet the requirements of my job.",NA,NA,3,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp2","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I am able to meet the requirements of my job.",NA,NA,4,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp2","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I am able to meet the requirements of my job.",NA,"strongly agree",5,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp3","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I rarely make mistakes when completing my work.",NA,"strongly disagree",1,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp3","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I rarely make mistakes when completing my work.",NA,NA,2,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp3","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I rarely make mistakes when completing my work.",NA,NA,3,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp3","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I rarely make mistakes when completing my work.",NA,NA,4,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp3","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I rarely make mistakes when completing my work.",NA,"strongly agree",5,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp4","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I never neglect the things I am supposed to do.",NA,"strongly disagree",1,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp4","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I never neglect the things I am supposed to do.",NA,NA,2,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp4","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I never neglect the things I am supposed to do.",NA,NA,3,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp4","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I never neglect the things I am supposed to do.",NA,NA,4,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp4","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I never neglect the things I am supposed to do.",NA,"strongly agree",5,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp5","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I always fulfill my job responsibilities well.",NA,"strongly disagree",1,NA,NA,NA,NA
"qiang_2025_job_performance","qiang_2025_job_performance_1","jp5","Job performance scale (unnamed in the source article; items 17-21 of the study questionnaire)","Chinese",NA,NA,"I always fulfill my job responsibilities well.",NA,NA,2,NA,NA,NA,NA
