"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"roelen_2020_rses","roelen_2020_rses_1","q_407","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"On the whole, I am satisfied with myself.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_407","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"On the whole, I am satisfied with myself.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_407","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"On the whole, I am satisfied with myself.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_407","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"On the whole, I am satisfied with myself.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_408","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"At times, I think I am no good at all.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_408","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"At times, I think I am no good at all.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_408","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"At times, I think I am no good at all.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_408","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"At times, I think I am no good at all.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_409","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I have a number of good qualities.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_409","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I have a number of good qualities.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_409","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I have a number of good qualities.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_409","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I have a number of good qualities.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_410","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I am able to do things as well as most other people.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_410","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I am able to do things as well as most other people.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_410","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I am able to do things as well as most other people.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_410","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I am able to do things as well as most other people.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_411","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I do not have much to be proud of.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_411","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I do not have much to be proud of.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_411","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I do not have much to be proud of.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_411","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I do not have much to be proud of.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_412","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I certainly feel useless at times.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_412","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I certainly feel useless at times.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_412","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I certainly feel useless at times.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_412","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I certainly feel useless at times.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_413","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I'm a person of worth, at least on an equal level with others.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_413","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I'm a person of worth, at least on an equal level with others.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_413","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I'm a person of worth, at least on an equal level with others.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_413","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I feel that I'm a person of worth, at least on an equal level with others.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_414","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I wish I could have more respect for myself.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_414","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I wish I could have more respect for myself.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_414","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I wish I could have more respect for myself.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_414","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I wish I could have more respect for myself.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_415","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"All in all, I am inclined to feel that I am a failure.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_415","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"All in all, I am inclined to feel that I am a failure.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_415","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"All in all, I am inclined to feel that I am a failure.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_415","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"All in all, I am inclined to feel that I am a failure.",NA,"Strongly agree",4
"roelen_2020_rses","roelen_2020_rses_1","q_416","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I take a positive attitude toward myself.",NA,"Strongly disagree",1
"roelen_2020_rses","roelen_2020_rses_1","q_416","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I take a positive attitude toward myself.",NA,"Disagree",2
"roelen_2020_rses","roelen_2020_rses_1","q_416","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I take a positive attitude toward myself.",NA,"Agree",3
"roelen_2020_rses","roelen_2020_rses_1","q_416","Rosenberg Self-Esteem Scale (RSES), Haitian Creole version","Haitian Creole",NA,NA,"I take a positive attitude toward myself.",NA,"Strongly agree",4
