"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-1","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал собственную картину","Painted a picture of my own",NA,"Никогда не делал","Never did this",1
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-1","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал собственную картину","Painted a picture of my own",NA,"Делал один или два раза","Did this once or twice",2
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-1","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал собственную картину","Painted a picture of my own",NA,"Делал 3–5 раз","Did this 3-5 times",3
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-1","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал собственную картину","Painted a picture of my own",NA,"Делал больше пяти раз","Did this more than five times",4
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-2","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал картину из эстетических соображений","Painted a picture for aesthetic reasons",NA,"Никогда не делал","Never did this",1
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-2","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал картину из эстетических соображений","Painted a picture for aesthetic reasons",NA,"Делал один или два раза","Did this once or twice",2
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-2","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал картину из эстетических соображений","Painted a picture for aesthetic reasons",NA,"Делал 3–5 раз","Did this 3-5 times",3
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-2","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Нарисовал картину из эстетических соображений","Painted a picture for aesthetic reasons",NA,"Делал больше пяти раз","Did this more than five times",4
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-3","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Рисовал наброски","Made sketches",NA,"Никогда не делал","Never did this",1
"RvKDCS_Romiacg_Miroshnik_2020_CBI","RvKDCS_Romiacg_Miroshnik_2020_CBI_1","CBI-3","Creative Behavior Inventory (CBI), 11-item Russian version","Russian","ИНСТРУКЦИЯ. Данный опросник представляет собой перечень различных видов деятельности и достижений, которые обычно считаются творческими. Для каждого утверждения Вам необходимо указать, насколько часто Вы были вовлечены в соответствующую деятельность в течение последних 12 месяцев.","INSTRUCTIONS. This questionnaire is a list of various kinds of activities and achievements that are usually considered creative. For each statement you need to indicate how often you have been involved in the corresponding activity over the last 12 months.",NA,NA,"Рисовал наброски","Made sketches",NA,"Делал один или два раза","Did this once or twice",2
