"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT1","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"In uncertain times, I usually expect the best.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT1","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"In uncertain times, I usually expect the best.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT1","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"In uncertain times, I usually expect the best.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT1","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"In uncertain times, I usually expect the best.",NA,NA,"agree",NA,4
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT1","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"In uncertain times, I usually expect the best.",NA,NA,"strongly agree",NA,5
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT2","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"If something can go wrong for me, it will.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT2","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"If something can go wrong for me, it will.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT2","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"If something can go wrong for me, it will.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT2","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"If something can go wrong for me, it will.",NA,NA,"agree",NA,4
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT2","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"If something can go wrong for me, it will.",NA,NA,"strongly agree",NA,5
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT3","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I'm always optimistic about my future.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT3","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I'm always optimistic about my future.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT3","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I'm always optimistic about my future.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT3","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I'm always optimistic about my future.",NA,NA,"agree",NA,4
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT3","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I'm always optimistic about my future.",NA,NA,"strongly agree",NA,5
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT4","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I hardly ever expect things to go my way.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT4","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I hardly ever expect things to go my way.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT4","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I hardly ever expect things to go my way.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT4","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I hardly ever expect things to go my way.",NA,NA,"agree",NA,4
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT4","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I hardly ever expect things to go my way.",NA,NA,"strongly agree",NA,5
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT5","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I rarely count on good things happening to me.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT5","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I rarely count on good things happening to me.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT5","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I rarely count on good things happening to me.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT5","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I rarely count on good things happening to me.",NA,NA,"agree",NA,4
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT5","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"I rarely count on good things happening to me.",NA,NA,"strongly agree",NA,5
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT6","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"Overall, I expect more good things to happen to me than bad.",NA,NA,"strongly disagree",NA,1
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT6","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"Overall, I expect more good things to happen to me than bad.",NA,NA,"disagree",NA,2
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT6","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"Overall, I expect more good things to happen to me than bad.",NA,NA,"neutral",NA,3
"SABFI2_Gallardo_Pujol_2018_LOT","SABFI2_Gallardo_Pujol_2018_LOT_1","LOT6","Life Orientation Test-Revised (LOT-R)","Spanish",NA,NA,NA,NA,"Overall, I expect more good things to happen to me than bad.",NA,NA,"agree",NA,4
