"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro1","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En familia","With family",NA,"Nada","Not at all",1
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro1","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En familia","With family",NA,"Algo","A little",2
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro1","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En familia","With family",NA,"Bastante","Quite a bit",3
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro1","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En familia","With family",NA,"Totalmente","Completely",4
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro2","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"Con amigos","With friends",NA,"Nada","Not at all",1
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro2","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"Con amigos","With friends",NA,"Algo","A little",2
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro2","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"Con amigos","With friends",NA,"Bastante","Quite a bit",3
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro2","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"Con amigos","With friends",NA,"Totalmente","Completely",4
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro3","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En la ciudad dónde vivo","In the city where I live",NA,"Nada","Not at all",1
"SABFI2_Gallardo_Pujol_2018_Micro","SABFI2_Gallardo_Pujol_2018_Micro_1","Micro3","Micro-macro environment in life space (EV-macro; Salgado, González-Suhr & Oceja, 2013), International Situations Project version","Spanish","¿En qué medida cree que su vida se desarrolla en los siguientes ambientes?","To what extent do you think your life develops in the following environments?",NA,NA,"En la ciudad dónde vivo","In the city where I live",NA,"Algo","A little",2
