"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_01","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA / KOSPEN memenuhi persetujuan saya","MIICA/ KOSPEN programme meets my approval",NA,"Sangat tidak setuju","Completely disagree",1
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_01","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA / KOSPEN memenuhi persetujuan saya","MIICA/ KOSPEN programme meets my approval",NA,"Tidak setuju","Disagree",2
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_01","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA / KOSPEN memenuhi persetujuan saya","MIICA/ KOSPEN programme meets my approval",NA,"Neutral","Neither agree nor disagree",3
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_01","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA / KOSPEN memenuhi persetujuan saya","MIICA/ KOSPEN programme meets my approval",NA,"Setuju","Agree",4
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_01","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA / KOSPEN memenuhi persetujuan saya","MIICA/ KOSPEN programme meets my approval",NA,"Sangat setuju","Completely agree",5
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_02","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA/ KOSPEN menarik minat saya","MIICA/ KOSPEN programme is appealing",NA,"Sangat tidak setuju","Completely disagree",1
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_02","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA/ KOSPEN menarik minat saya","MIICA/ KOSPEN programme is appealing",NA,"Tidak setuju","Disagree",2
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_02","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA/ KOSPEN menarik minat saya","MIICA/ KOSPEN programme is appealing",NA,"Neutral","Neither agree nor disagree",3
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_02","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA/ KOSPEN menarik minat saya","MIICA/ KOSPEN programme is appealing",NA,"Setuju","Agree",4
"salleh_2023_aim_iam_fim","salleh_2023_aim_iam_fim_1","item_02","AIM-IAM-FIM questionnaire (Malay Version): Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM)","Malay",NA,NA,NA,NA,"Program MIICA/ KOSPEN menarik minat saya","MIICA/ KOSPEN programme is appealing",NA,"Sangat setuju","Completely agree",5
