"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,"not at all",1,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,2,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,3,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,4,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,5,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,6,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,7,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,8,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,NA,9,NA,NA,NA,NA
"schafer_2016_music_goals","schafer_2016_music_goals_1","goals_self_awareness","Goals of music listening (diary questionnaire, Schäfer 2016)","German",NA,NA,"How important was self-awareness for your intention to listen to music in that situation?",NA,"very much",10,NA,NA,NA,NA
